title,studio,lifetime_gross,mediaType,imdb_ratingCount,imdb_bestRating,imdb_worstRating,imdb_averageRating,contentRating,smallLensRatingCount,smallLensRatingAvg,title_lowercase,genres,releaseYear,releaseMonth,primaryTitle,numVotes,directors,category,primaryName,runtimeMinutes
Besieged,FL,2048740,"","","","","","",2,3.5,besieged (a.k.a. l' assedio) (1998),drama,"","",Besieged,5171,nm0000934,actress,Thandiwe Newton,93
Double Jeopardy,Par.,116741558,movie,93244,10,1,6.5,r,19,3.03,double jeopardy (1999),action|crime|drama|thriller,1999,9,Double Jeopardy,93039,nm0000915,actress,Ashley Judd,105
D.E.B.S.,IDP,97446,movie,17383,10,1,5.4,pg-13,3,2.83,d.e.b.s. (2004),action|comedy,2005,3,D.E.B.S.,17338,nm1286340,actress,Sara Foster,91
Chances Are,TriS,16278590,movie,13450,10,1,6.5,pg,2,2.5,chances are (1989),comedy|romance,1989,3,Chances Are,13427,nm0001915,actress,Cybill Shepherd,108
The Usual Suspects,Gram.,23341568,movie,1125102,10,1,8.5,r,204,4.24,usual suspects  the (1995),crime|mystery|thriller,1995,8,The Usual Suspects,1123733,nm0001741,actor,Kevin Spacey,106
In Too Deep,Mira.,14011454,movie,7002,10,1,6.2,r,1,3.0,in too deep (1999),action|thriller,1999,8,In Too Deep,6996,nm0753382,actor,Lloyd Adams,95
Shake Hands with the Devil,Reg.,594,movie,3612,10,1,7.6,r,1,2.5,shake hands with the devil (2007),drama|war,2007,9,Shake Hands with the Devil,3606,"nm0135612,nm0006854",actor,Roy Dupuis,112
R.I.P.D.,Uni.,33618855,movie,141558,10,1,5.6,pg-13,3,1.83,r.i.p.d. (2013),action|comedy|fantasy,2013,7,R.I.P.D.,141412,nm0777881,actor,Ryan Reynolds,96
Losin' It,Emb,1246141,movie,5075,10,1,4.9,r,1,1.0,losin' it (1983),comedy,1983,4,Losin' It,5060,nm0000436,actor,Tom Cruise,100
Saving Grace,FL,12178602,movie,19112,10,1,6.9,r,11,3.91,saving grace (2000),comedy,2000,9,Saving Grace,19086,nm0170719,actress,Brenda Blethyn,93
Epic,Fox,107518682,movie,108770,10,1,6.6,pg,2,3.0,epic (2013),adventure|animation|fantasy,2013,5,Epic,108678,nm0917188,actress,Amanda Seyfried,102
Jimmy Neutron: Boy Genius,Par.,80936232,"","","","","","",5,3.2,jimmy neutron: boy genius (2001),adventure|animation|children|comedy,"","",Jimmy Neutron: Boy Genius,37188,nm0204884,actress,Debi Derryberry,82
Real Women Have Curves,NM,5853194,movie,8029,10,1,6.9,pg-13,2,4.25,real women have curves (2002),comedy|drama,2002,11,Real Women Have Curves,8019,nm0136603,actress,America Ferrera,90
The Stepford Wives,Par.,59484742,"","","","","","",12,2.25,stepford wives  the (2004),comedy|fantasy|thriller,"","",The Stepford Wives,68790,nm0000568,actress,Nicole Kidman,93
Meteor,AIP,8400000,movie,7977,10,1,5.0,pg,3,1.83,meteor (1979),sci-fi,1979,10,Meteor,7959,nm0623768,actor,Sean Connery,108
Lethal Weapon,WB,65207127,movie,271071,10,1,7.6,r,75,3.67,lethal weapon (1987),action|comedy|crime|drama,1987,3,Lethal Weapon,270789,nm0001149,actor,Mel Gibson,109
Until the End of the World,WB,829625,"","","","","","",5,2.7,until the end of the world (bis ans ende der welt) (1991),adventure|drama|sci-fi,"","",Until the End of the World,10963,nm0000694,actor,William Hurt,158
Even Cowgirls Get the Blues,FL,1708873,"","","","","","",6,2.33,even cowgirls get the blues (1993),comedy|romance,"","",Even Cowgirls Get the Blues,7733,nm0001814,actress,Uma Thurman,106
A Walk on the Moon,Mira.,4750660,"","","","","","",5,3.2,walk on the moon  a (1999),drama|romance,"","",A Walk on the Moon,9077,nm0001282,actress,Diane Lane,107
Thirst,Focus,318574,movie,50411,10,1,7.1,r,3,4.0,thirst (bakjwi) (2009),drama|horror,2009,4,Thirst,50319,nm0661791,actor,Song Kang-ho,134
American Buffalo,Gold.,665450,"","","","","","",1,1.5,american buffalo (1996),crime|drama,"","",American Buffalo,3957,nm0180912,actor,Dustin Hoffman,88
Life as a House,NL,15667270,movie,45214,10,1,7.5,r,9,3.89,life as a house (2001),drama,2001,11,Life as a House,45185,nm0005563,actor,Hayden Christensen,125
Toy Story,BV,191796233,movie,1044711,10,1,8.3,g,215,3.92,toy story (1995),adventure|animation|children|comedy|fantasy,1995,11,Toy Story,1043037,nm0005124,actor,Tom Hanks,81
Waterworld,Uni.,88246220,"","","","","","",115,2.91,waterworld (1995),action|adventure|sci-fi,"","",Waterworld,205912,nm0721817,actor,Kevin Costner,135
Every Secret Thing,SM,103536,movie,8946,10,1,6.1,r,1,2.0,every secret thing (2014),crime|drama|mystery|thriller,2014,4,Every Secret Thing,8922,nm1332844,actress,Diane Lane,93
Blazing Saddles,WB,119601481,"","","","","","",62,3.94,blazing saddles (1974),comedy|western,"","",Blazing Saddles,147912,nm0000316,actor,Cleavon Little,93
The Natural,TriS,47951979,movie,51616,10,1,7.4,pg,24,3.65,natural  the (1984),drama,1984,5,The Natural,51556,nm0001469,actor,Robert Redford,138
The Legend of 1900,FL,167435,movie,68008,10,1,8.0,r,3,3.67,legend of 1900  the (a.k.a. the legend of the pianist on the ocean) (leggenda del pianista sull'oceano) (1998),drama,1998,10,The Legend of 1900,67904,nm0868153,actor,Tim Roth,169
Playing by Heart,Mira.,3970078,"","","","","","",8,3.38,playing by heart (1998),drama|romance,"","",Playing by Heart,20088,nm0141033,actress,Gillian Anderson,121
Slither,Uni.,7802450,movie,87521,10,1,6.5,r,5,3.0,slither (2006),comedy|horror|sci-fi,2006,3,Slither,87406,nm0348181,actor,Nathan Fillion,95
The Big Red One,MGM,7206220,movie,21030,10,1,7.1,r,2,4.25,big red one  the (1980),action|adventure|drama|war,1980,7,The Big Red One,20997,nm0002087,actor,Lee Marvin,113
The Hunted,Par.,34244097,movie,5597,10,1,5.9,r,3,3.0,hunted  the (1995),action,1995,2,The Hunted,5586,nm0493369,actor,Christopher Lambert,111
The Trip,TLA,306567,movie,3892,10,1,7.0,r,1,2.0,trip  the (2002),comedy|drama|romance,2002,5,The Trip,3892,nm0841504,actor,Larry Sullivan,95
Hannah and Her Sisters,Orion,40084041,movie,74984,10,1,7.8,pg-13,13,3.77,hannah and her sisters (1986),comedy|drama|romance,1986,3,Hannah and Her Sisters,74842,nm0000095,actress,Mia Farrow,107
Homegrown,Sony,77910,movie,4967,10,1,5.7,r,1,1.0,homegrown (1998),comedy|thriller,1998,4,Homegrown,4958,nm0350455,actor,Billy Bob Thornton,102
House of the Dead,Art.,10249719,movie,38276,10,1,2.1,r,4,1.13,house of the dead  the (2003),action|horror,2003,10,House of the Dead,38261,nm0093051,actor,Jonathan Cherry,90
Music and Lyrics,WB,50572589,movie,106212,10,1,6.5,pg-13,10,3.1,music and lyrics (2007),comedy|romance,2007,2,Music and Lyrics,106130,nm0492909,actor,Hugh Grant,104
Doctor Dolittle,Fox,144156605,movie,100717,10,1,5.4,pg-13,32,2.61,dr. dolittle (1998),comedy,1998,6,Doctor Dolittle,100639,nm0858525,actor,Eddie Murphy,85
Office Space,Fox,10827810,movie,281707,10,1,7.6,r,94,4.09,office space (1999),comedy|crime,1999,2,Office Space,281266,nm0431918,actor,Ron Livingston,89
Concussion,RTWC,42606,movie,99331,10,1,7.1,pg-13,3,2.5,concussion (2015),drama,2015,12,Concussion,99242,nm1481618,actor,Will Smith,123
Night of the Comet,Atl,14418922,"","","","","","",8,2.88,night of the comet (1984),comedy|horror|sci-fi,"","",Night of the Comet,23101,nm0248054,actress,Catherine Mary Stewart,95
Ready to Rumble,WB,12394327,"","","","","","",6,2.25,ready to rumble (2000),comedy,"","",Ready to Rumble,15060,nm0005367,actor,David Arquette,107
Atlantis: The Lost Empire,BV,84056472,movie,130332,10,1,6.9,pg,19,3.34,atlantis: the lost empire (2001),adventure|animation|children|fantasy,2001,6,Atlantis: The Lost Empire,130006,"nm0873779,nm0936374",actor,Michael J. Fox,95
End of Watch,ORF,41003371,movie,262973,10,1,7.6,r,6,3.92,end of watch (2012),crime|drama|thriller,2012,9,End of Watch,262594,nm0043742,actor,Jake Gyllenhaal,109
White Christmas,Par.,928298,movie,47158,10,1,7.5,not rated,8,4.19,white christmas (1954),comedy|musical|romance,1954,11,White Christmas,47084,nm0002031,actor,Bing Crosby,120
Total Eclipse,FL,340139,movie,16510,10,1,6.5,r,1,3.0,total eclipse (1995),drama|romance,1995,11,Total Eclipse,16485,nm0002140,actor,Leonardo DiCaprio,111
Insomnia,WB,67355513,"","","","","","",8,3.75,insomnia (1997),drama|mystery|thriller,"","",Insomnia,15077,nm0804408,actor,Stellan Skarsgård,96
The Pest,Sony,3600616,movie,9068,10,1,4.8,pg-13,1,2.0,pest  the (1997),comedy,1997,2,The Pest,9046,nm0589106,actor,John Leguizamo,84
Mona Lisa Smile,SonR,63860942,movie,88246,10,1,6.5,pg-13,10,2.8,mona lisa smile (2003),drama|romance,2003,12,Mona Lisa Smile,87989,nm0001565,actress,Julia Roberts,117
Paul Blart: Mall Cop 2,Sony,71038190,"","","","","","",4,2.75,paul blart: mall cop 2 (2015),action|comedy|crime,"","",Paul Blart: Mall Cop 2,40011,nm0275698,actor,Kevin James,94
Amarcord,Jan.,125493,movie,45977,10,1,7.9,r,2,4.0,amarcord (1973),comedy|drama,1974,9,Amarcord,45905,nm0000019,actress,Magali Noël,123
Cobb,WB,1007583,movie,8018,10,1,6.4,r,6,3.33,cobb (1994),drama,1994,12,Cobb,8011,nm0005421,actor,Tommy Lee Jones,128
The Man Who Wasn't There,USA,7504257,movie,113555,10,1,7.5,r,17,3.74,man who wasn't there  the (2001),crime|drama,2001,11,The Man Who Wasn't There,113465,nm0001054,actor,Billy Bob Thornton,116
Of Mice and Men,MGM,5471088,movie,46113,10,1,7.5,pg-13,17,3.68,of mice and men (1992),drama,1992,10,Of Mice and Men,46020,nm0000641,actor,John Malkovich,115
Beerfest,WB,19185184,movie,70710,10,1,6.2,r,6,3.5,beerfest (2006),comedy,2006,8,Beerfest,70678,nm0151540,actor,Jay Chandrasekhar,110
Butterfly,Mira.,2092682,movie,9546,10,1,7.6,r,2,4.0,butterfly (la lengua de las mariposas) (1999),drama,2000,8,Butterfly,9524,nm0191109,actor,Manuel Lozano,96
Water,FoxS,5529144,movie,15248,10,1,7.7,pg-13,1,3.5,water (2005),drama|romance,2006,5,Water,15239,nm0576548,actress,Lisa Ray,117
The Emoji Movie,Sony,86089513,movie,69506,10,1,3.4,pg,1,0.5,the emoji movie (2017),animation|children|comedy,2017,7,The Emoji Movie,69368,nm1902232,actor,T.J. Miller,86
For the Bible Tells Me So,FRun,312751,movie,4499,10,1,7.8,unrated,2,3.25,for the bible tells me so (2007),documentary,2007,10,For the Bible Tells Me So,4498,nm1081568,self,Imogene Robinson,95
Middle Men,ParV,754301,movie,38179,10,1,6.8,r,2,3.25,middle men (2009),comedy|crime|drama,2010,8,Middle Men,38171,nm0303032,actor,Luke Wilson,105
Madagascar,DW,193595521,"","","","","","",40,3.38,madagascar (2005),adventure|animation|children|comedy,"","",Madagascar,426348,"nm0201509,nm0569891",actor,Chris Rock,86
Higher Learning,Sony,38290723,"","","","","","",9,2.67,higher learning (1995),drama,"","",Higher Learning,21173,nm0005436,actor,Omar Epps,128
Monster-in-Law,NL,82931301,movie,64443,10,1,5.5,pg-13,4,2.5,monster-in-law (2005),comedy|romance,2005,5,Monster-in-Law,64383,nm0525659,actress,Jennifer Lopez,101
The Mist,MGM/W,25594957,movie,331709,10,1,7.1,r,14,3.43,mist  the (2007),horror|sci-fi,2007,11,The Mist,331121,nm0001104,actor,Thomas Jane,126
All the President's Men,WB,70600000,movie,123250,10,1,7.9,pg,27,4.02,all the president's men (1976),drama|thriller,1976,4,All the President's Men,123012,nm0001587,actor,Dustin Hoffman,138
Bad Company,BV,30160161,"","","","","","",4,2.88,bad company (2002),action|comedy|crime,"","",Bad Company,49510,nm0001708,actor,Anthony Hopkins,116
Boy Meets Girl,CFilms,12589,movie,4896,10,1,7.1,r,1,4.0,boy meets girl (2015),comedy|drama|romance,2015,2,Boy Meets Girl,4891,nm0769703,actor,Michael Welch,95
4 Little Girls,GV,130146,"","","","","","",2,4.25,4 little girls (1997),documentary,"","",4 Little Girls,3500,nm0000490,self,Maxine McNair,102
Any Which Way You Can,WB,70687344,movie,20549,10,1,6.1,pg,2,2.0,any which way you can (1980),comedy,1980,12,Any Which Way You Can,20524,nm0887174,actor,Clint Eastwood,116
In & Out,Par.,63856929,movie,43542,10,1,6.4,pg-13,26,2.79,in & out (1997),comedy,1997,9,In & Out,43503,nm0000568,actor,Kevin Kline,90
The Shaggy Dog,BV,61123569,movie,19899,10,1,4.4,pg,2,1.25,shaggy dog  the (2006),adventure|children|comedy|fantasy,2006,3,The Shaggy Dog,19887,nm0005367,actor,Tim Allen,98
The French Lieutenant's Woman,MGM,26890068,"","","","","","",2,3.0,french lieutenant's woman  the (1981),drama,"","",The French Lieutenant's Woman,14482,nm0718554,actress,Meryl Streep,124
John Dies at the End,Magn.,141951,movie,39863,10,1,6.3,r,2,4.0,john dies at the end (2012),comedy|fantasy|horror,2012,12,John Dies at the End,39833,nm0181741,actor,Chase Williamson,99
The Disaster Artist,A24,21120616,movie,161533,10,1,7.3,r,2,3.75,the disaster artist (2017),comedy|drama,2017,12,The Disaster Artist,161333,nm0290556,actor,James Franco,104
Paint Your Wagon,Par.,14500000,"","","","","","",3,2.83,paint your wagon (1969),comedy|musical|western,"","",Paint Your Wagon,14466,nm0517597,actor,Lee Marvin,164
Trust,FL,356122,movie,11982,10,1,7.4,r,3,4.33,trust (1990),comedy|drama|romance,1991,9,Trust,11969,nm0001325,actress,Adrienne Shelly,107
Destiny Turns on the Radio,Sav.,1176982,"","","","","","",3,2.33,destiny turns on the radio (1995),comedy,"","",Destiny Turns on the Radio,2513,nm0052944,actor,Dylan McDermott,102
Train of Life,ParC,98687,"","","","","","",2,4.5,train of life (train de vie) (1998),comedy|drama|romance|war,"","",Train of Life,9506,nm0586123,actor,Lionel Abelanski,103
Grind,WB,5123696,"","","","","","",2,2.75,grind (2003),action|comedy,"","",Grind,13166,nm0489453,actor,Adam Brody,105
The Squid and the Whale,IDP,7372734,movie,88373,10,1,7.3,r,9,3.44,squid and the whale  the (2005),comedy|drama,2005,12,The Squid and the Whale,88217,nm0000876,actor,Owen Kline,81
Black Dynamite,App.,242578,movie,51130,10,1,7.4,r,2,3.5,black dynamite (2009),action|comedy,2010,1,Black Dynamite,51073,nm0761715,actor,Michael Jai White,84
Head On,Strand,379384,movie,4569,10,1,6.6,not rated,1,1.0,head on (1998),drama,1998,8,Head On,4566,nm0463727,actor,Alex Dimitriades,104
Mr. Deeds,Sony,126293452,"","","","","","",22,2.91,mr. deeds (2002),comedy|romance,"","",Mr. Deeds,150101,nm0109359,actor,Adam Sandler,96
The Chase,Fox,7924955,"","","","","","",1,2.0,chase  the (1994),action|adventure|comedy|crime|romance|thriller,"","",The Chase,21879,nm0726472,actor,Charlie Sheen,97
Losing Isaiah,Par.,7603766,movie,6430,10,1,6.4,r,4,3.5,losing isaiah (1995),drama,1995,3,Losing Isaiah,6425,nm0350455,actress,Jessica Lange,111
Funny Games,WIP,1294919,movie,102135,10,1,6.5,r,4,4.38,funny games u.s. (2007),drama|thriller,2008,4,Funny Games,102019,nm0359734,actress,Naomi Watts,111
The Walk,TriS,10137502,movie,133631,10,1,7.3,pg,2,3.0,the walk (2015),adventure|drama|thriller,2015,10,The Walk,133515,nm0000709,actor,Joseph Gordon-Levitt,123
Solo: A Star Wars Story,BV,213767512,movie,370509,10,1,6.9,pg-13,5,3.9,solo: a star wars story (2018),action|adventure|children|sci-fi,2018,5,Solo: A Star Wars Story,369937,nm0000165,actor,Alden Ehrenreich,135
The Idolmaker,MGM,2625716,movie,1472,10,1,6.9,pg,1,4.0,the idolmaker (1980),drama|romance,1980,11,The Idolmaker,1470,nm0000431,actor,Ray Sharkey,117
Foxfire,Gold.,269300,"","","","","","",3,3.67,foxfire (1996),drama,"","",Foxfire,9640,nm0371852,actress,Hedy Burress,102
Son of God,Fox,59700064,movie,19471,10,1,5.7,pg-13,1,0.5,son of god (2014),drama,2014,2,Son of God,19459,nm0817895,actor,Diogo Morgado,138
Marius and Jeannette,NYer,285038,movie,1669,10,1,6.9,"",1,4.0,marius and jeanette (marius et jeannette) (1997),comedy|drama|romance,1997,12,Marius and Jeannette,1668,nm0350168,actress,Ariane Ascaride,105
The Yards,Mira.,889352,movie,22505,10,1,6.4,r,5,3.4,yards  the (2000),crime|drama,2000,4,The Yards,22474,nm0336695,actor,Mark Wahlberg,115
Green Room,A24,3220371,movie,135925,10,1,7.0,r,3,3.33,green room (2015),(no genres listed),2016,5,Green Room,135537,nm1099918,actor,Anton Yelchin,95
The Express,Uni.,9793406,movie,22651,10,1,7.2,pg,1,3.0,express  the (2008),drama,2008,10,The Express,22647,nm0001219,actor,Rob Brown,130
Young Adult,Par.,16311571,movie,86558,10,1,6.3,r,2,2.25,young adult (2011),comedy|drama,2011,12,Young Adult,86510,nm0718646,actress,Charlize Theron,94
Bill & Ted's Excellent Adventure,Orion,40485039,"","","","","","",45,3.7,bill & ted's excellent adventure (1989),adventure|comedy|sci-fi,"","",Bill & Ted's Excellent Adventure,139061,nm0378893,actor,Keanu Reeves,90
Naqoyqatsi,Mira.,133058,movie,6152,10,1,6.4,pg,1,3.0,naqoyqatsi (2002),documentary,2003,1,Naqoyqatsi,6148,nm0716585,self,Belladonna,89
The Emerald Forest,Emb,24468550,movie,10780,10,1,6.9,r,1,3.0,emerald forest  the (1985),action|adventure|drama,1985,7,The Emerald Forest,10773,nm0000958,actor,Powers Boothe,114
Bull Durham,Orion,50888729,movie,58039,10,1,7.1,r,35,3.67,bull durham (1988),comedy|drama|romance,1988,6,Bull Durham,57968,nm0005421,actor,Kevin Costner,108
Metropolitan,NL,2938208,movie,12064,10,1,7.3,pg-13,8,3.63,metropolitan (1990),comedy,1990,8,Metropolitan,12052,nm0001775,actress,Carolyn Farina,98
Soul Man,NW,27820000,movie,8839,10,1,5.3,pg-13,8,2.56,soul man (1986),comedy,1986,10,Soul Man,8829,nm0591171,actor,C. Thomas Howell,104
Street Kings,FoxS,26418667,movie,119165,10,1,6.8,r,1,2.5,street kings (2008),crime|drama|thriller,2008,4,Street Kings,119065,nm0043742,actor,Keanu Reeves,109
The Fog,AVCO,21448782,movie,38792,10,1,3.7,pg-13,5,2.1,fog  the (2005),action|horror|mystery|thriller,2005,10,The Fog,38763,nm0906548,actor,Tom Welling,100
The Karate Kid,Sony,176591618,movie,238985,10,1,7.3,pg,38,3.57,karate kid  the (1984),drama,1984,6,The Karate Kid,238611,nm0000814,actor,Ralph Macchio,126
An American Tail,Uni.,47483002,"","","","","","",18,3.17,american tail  an (1986),adventure|animation|children|comedy,"","",An American Tail,56861,nm0089940,actor,Dom DeLuise,80
Mars Attacks!,WB,37771017,movie,239329,10,1,6.4,pg-13,86,3.09,mars attacks! (1996),action|comedy|sci-fi,1996,12,Mars Attacks!,238860,nm0000318,actor,Jack Nicholson,106
Valentine's Day,WB (NL),110485654,movie,123546,10,1,5.7,pg-13,3,2.67,valentine's day (2010),comedy|romance,2010,2,Valentine's Day,123475,nm0005190,actress,Julia Roberts,125
Runner Runner,Fox,19316646,movie,65279,10,1,5.6,r,2,2.25,runner runner (2013),crime|drama|thriller,2013,10,Runner Runner,65250,nm1026778,actor,Ben Affleck,88
The Notorious Bettie Page,PicH,1415082,movie,11474,10,1,6.5,r,2,3.0,notorious bettie page  the (2005),drama,2006,5,The Notorious Bettie Page,11462,nm0366004,actress,Gretchen Mol,91
Daddy's Home 2,Par.,104029443,"","","","","","",1,4.0,daddy's home 2 (2017),comedy|drama,"","",Daddy's Home 2,79643,nm1890845,actor,Will Ferrell,100
Urban Cowboy,Par.,46918287,movie,16317,10,1,6.4,pg,3,2.33,urban cowboy (1980),drama,1980,6,Urban Cowboy,16276,nm0108745,actor,John Travolta,132
Under the Sand,Wins.,1452698,movie,11293,10,1,7.0,unrated,2,4.5,under the sand (2000),drama,2001,5,Under the Sand,11284,nm0654830,actress,Charlotte Rampling,92
The Magdalene Sisters,Mira.,4890878,movie,28138,10,1,7.7,r,6,4.33,magdalene sisters  the (2002),drama,2003,8,The Magdalene Sisters,28122,nm0611932,actress,Eileen Walsh,114
The Drop,FoxS,10724389,movie,159618,10,1,7.0,r,3,2.83,the drop (2014),crime|drama|thriller,2014,9,The Drop,159326,nm1742427,actor,Tom Hardy,106
Rush Hour,NL,141186864,movie,287390,10,1,7.0,pg-13,42,3.26,rush hour (1998),action|comedy|crime|thriller,1998,9,Rush Hour,286922,nm0711840,actor,Jackie Chan,98
American Pie 2,Uni.,145103595,movie,266477,10,1,6.4,r,45,3.07,american pie 2 (2001),comedy,2001,8,American Pie 2,266195,nm0736930,actor,Jason Biggs,108
Tomorrowland,BV,93436322,movie,188672,10,1,6.4,pg,7,2.5,tomorrowland (2015),action|adventure|children|mystery|sci-fi,2015,5,Tomorrowland,188504,nm0083348,actor,George Clooney,130
Logan Lucky,BST,27780977,movie,159111,10,1,7.0,pg-13,1,4.5,logan lucky (2017),comedy,2017,8,Logan Lucky,158865,nm0001752,actor,Channing Tatum,118
Out Cold,BV,13906394,movie,18214,10,1,6.2,pg-13,5,3.0,out cold (2001),comedy,2001,11,Out Cold,18201,"nm0540139,nm0540148",actor,Flex Alexander,89
Anchorman 2: The Legend Continues,Par.,127352707,movie,189878,10,1,6.3,pg-13,11,3.36,anchorman 2: the legend continues (2013),comedy,2013,12,Anchorman 2: The Legend Continues,189687,nm0570912,actor,Will Ferrell,119
Cujo,WB,21156152,movie,49861,10,1,6.1,r,7,2.21,cujo (1983),horror|thriller,1983,8,Cujo,49729,nm0853546,actress,Dee Wallace,93
Hideaway,Sony,12201255,movie,7290,10,1,5.3,r,4,2.38,hideaway (1995),thriller,1995,3,Hideaway,7286,nm0502577,actor,Jeff Goldblum,106
Must Love Dogs,WB,43894863,"","","","","","",4,2.0,must love dogs (2005),comedy|romance,"","",Must Love Dogs,32756,nm0325204,actress,Diane Lane,98
St. Elmo's Fire,Col.,37803872,movie,45304,10,1,6.4,r,16,3.22,st. elmo's fire (1985),drama|romance,1985,6,St. Elmo's Fire,45222,nm0001708,actress,Demi Moore,110
Dark Blue,UA,9250301,movie,23569,10,1,6.6,r,3,3.0,dark blue (2003),action|crime|drama|thriller,2003,2,Dark Blue,23530,nm0005421,actor,Kurt Russell,118
The Rundown,Uni.,47726342,movie,113555,10,1,6.6,pg-13,17,3.15,rundown  the (2003),action|adventure|comedy,2003,9,The Rundown,113453,nm0000916,actor,Dwayne Johnson,104
The History Boys,FoxS,2706659,movie,21298,10,1,6.8,r,2,3.0,history boys  the (2006),comedy|drama,2006,12,The History Boys,21292,nm0405336,actor,Richard Griffiths,109
The Dark Crystal,Uni.,41613957,"","","","","","",34,3.54,dark crystal  the (1982),adventure|fantasy,"","",The Dark Crystal,70211,"nm0001345,nm0000568",actor,Jim Henson,93
Coyote Ugly,BV,60786269,movie,119438,10,1,5.7,pg-13,29,2.74,coyote ugly (2000),comedy|drama|romance,2000,8,Coyote Ugly,119311,nm0573589,actress,Piper Perabo,100
Dressed to Kill,Orion,31899000,"","","","","","",2,3.75,sherlock holmes: dressed to kill (1946),crime|mystery,"","",Dressed to Kill,6702,nm0624756,actor,Basil Rathbone,76
Mostly Martha,ParC,4160475,movie,8486,10,1,7.2,pg,1,3.5,mostly martha (bella martha) (2001),comedy|drama|romance,2002,9,Mostly Martha,8480,nm0626686,actress,Martina Gedeck,109
Project X,WB,54731865,movie,226937,10,1,6.7,r,8,2.06,project x (2012),comedy,2012,3,Project X,226516,nm1294036,actor,Thomas Mann,88
Heist,WB,23510841,movie,38608,10,1,6.5,r,7,3.43,heist (2001),crime|drama,2001,11,Heist,38574,nm0000519,actor,Gene Hackman,109
Strike!,Mira.,907996,movie,7497,10,1,6.6,pg-13,1,3.0,strike! (a.k.a. all i wanna do  the hairy bird) (1998),comedy|drama,1998,9,Strike!,7491,nm0449576,actress,Kirsten Dunst,97
Behind Enemy Lines,Fox,58856790,movie,110949,10,1,6.4,pg-13,20,3.25,behind enemy lines (2001),action|drama|war,2001,11,Behind Enemy Lines,110783,nm0601382,actor,Gene Hackman,106
A.I. Artificial Intelligence,WB,78616689,movie,318764,10,1,7.2,pg-13,56,3.34,a.i. artificial intelligence (2001),adventure|drama|sci-fi,2001,6,A.I. Artificial Intelligence,318496,nm0000229,actor,Haley Joel Osment,146
Tomb Raider,WB,58250803,movie,223318,10,1,6.3,pg-13,4,2.5,tomb raider (2018),action|adventure|fantasy,2018,3,Tomb Raider,223042,nm1012385,actress,Alicia Vikander,119
Crush,SPC,1084935,movie,3917,10,1,5.7,r,1,2.5,crush (2001),comedy|romance,2002,6,Crush,3910,nm0563814,actress,Andie MacDowell,108
Son of the Bride,SPC,624757,movie,16271,10,1,7.8,r,1,5.0,son of the bride (hijo de la novia  el) (2001),comedy|drama,2001,8,Son of the Bride,16263,nm0002728,actor,Ricardo Darín,123
Everything Must Go,RAtt.,2711643,movie,52579,10,1,6.4,r,3,2.67,everything must go (2010),comedy|drama,2011,10,Everything Must Go,52547,nm3656297,actor,Will Ferrell,97
Ghost Town,P/DW,13367624,movie,76930,10,1,6.7,pg-13,2,2.0,ghost town (2008),comedy|fantasy|romance,2008,9,Ghost Town,76863,nm0462895,actor,Ricky Gervais,102
Jupiter's Wife,AL,10622,movie,249,10,1,7.1,not rated,1,3.0,jupiter's wife (1994),documentary,1995,9,Jupiter's Wife,249,nm0624516,self,Maggie Cogan,87
Jumpin' Jack Flash,Fox,29844101,movie,20461,10,1,5.9,r,15,2.5,jumpin' jack flash (1986),action|comedy|romance|thriller,1986,10,Jumpin' Jack Flash,20438,nm0001508,actress,Whoopi Goldberg,105
Manhattan,MGM,39946780,movie,144883,10,1,7.8,r,33,4.11,manhattan (1979),comedy|drama|romance,1979,4,Manhattan,144745,nm0000095,actor,Woody Allen,96
The Addams Family,Par.,113502426,movie,176140,10,1,6.9,pg-13,38,3.29,addams family  the (1991),children|comedy|fantasy,1991,11,The Addams Family,175347,nm0001756,actress,Anjelica Huston,99
Saving Face,SPC,1187266,movie,13057,10,1,7.4,r,1,5.0,saving face (2004),comedy|drama|romance,2005,6,Saving Face,13040,nm1226108,actress,Joan Chen,91
Deuce Bigalow: European Gigolo,Sony,22400154,movie,52769,10,1,4.7,r,3,2.83,deuce bigalow: european gigolo (2005),comedy,2005,8,Deuce Bigalow: European Gigolo,52727,nm1600805,actor,Rob Schneider,83
Journey to the West,Magn.,18058,movie,13689,10,1,6.7,pg-13,2,4.75,journey to the west: conquering the demons (daai wa sai you chi chui mo chun kei) (2013),adventure|comedy|fantasy|romance|imax,2013,2,Journey to the West,13673,"nm0159507,nm0477213",actor,Zhang Wen,110
The Doom Generation,Trim.,284785,movie,17449,10,1,6.1,r,3,2.83,doom generation  the (1995),comedy|crime|drama,1995,10,The Doom Generation,17409,nm0000777,actor,James Duval,83
Samsara,Osci.,2672413,movie,37469,10,1,8.4,pg-13,3,3.83,samsara (2011),documentary,2012,8,Samsara,37440,nm0294825,actress,Balinese Tari Legong Dancers,102
The Tall Guy,Mira.,510712,movie,4895,10,1,6.2,r,2,2.75,tall guy  the (1989),comedy|romance,1990,9,The Tall Guy,4887,nm0809321,actor,Jeff Goldblum,92
Mother Night,FL,403701,movie,5480,10,1,7.1,r,3,3.67,mother night (1996),drama,1996,11,Mother Night,5475,nm0330360,actor,Nick Nolte,114
Nightwatch,Mira.,1179002,movie,20926,10,1,6.2,r,3,2.0,nightwatch (1997),horror|thriller,1998,4,Nightwatch,20903,nm0097079,actor,Ewan McGregor,101
