title,studio,lifetime_gross,movieId,imdbId,tmdbId,mediaType,imdb_ratingCount,imdb_bestRating,imdb_worstRating,imdb_averageRating,contentRating,smallLensRatingCount,smallLensRatingAvg,title_lowercase,genres,smallLensTagCount,releaseYear,releaseMonth,nconst,tconst,titleType,primaryTitle,originalTitle,numVotes,directors,writers,category,primaryName,startYear,runtimeMinutes,averageRating,isAdult
Red State,SMod,1104682,89343,tt0873886,48572,"","","","","","",1,3.0,red state (2011),action|crime|horror|thriller,"","","",nm0662981,tt0873886,movie,Red State,Red State,66320,nm0003620,nm0003620,actor,Michael Parks,2011,88,6,0
Eat Pray Love,Sony,80574010,80551,tt0879870,38167,movie,103610,10,1,5.8,pg-13,2,3.5,eat pray love (2010),drama|romance,"",2010,8,nm0000210,tt0879870,movie,Eat Pray Love,Eat Pray Love,103480,nm0614682,"nm0614682,nm0759022,nm2418691",actress,Julia Roberts,2010,133,5,0
Shrek Forever After,P/DW,238736787,78637,tt0892791,10192,movie,219698,10,1,6.3,pg,7,3.57,shrek forever after (a.k.a. shrek: the final chapter) (2010),adventure|animation|children|comedy|fantasy|imax,"",2010,5,nm0000196,tt0892791,movie,Shrek Forever After,Shrek Forever After,219396,nm0593610,"nm0458441,nm0501359,nm0825308,nm0011470,nm0254645,nm0744429,nm0776107,nm0794252,nm0830294,nm2593444",actor,Mike Myers,2010,95,6,0
Crossing Over,Wein.,455654,68552,tt0924129,15577,movie,24281,10,1,6.7,r,1,2.0,crossing over (2009),drama,"",2009,2,nm0000148,tt0924129,movie,Crossing Over,Crossing Over,24267,nm0469694,nm0469694,actor,Harrison Ford,2009,113,6,0
The Young Victoria,App.,11001272,68269,tt0962736,18320,"","","","","","",2,4.25,young victoria  the (2009),drama|romance,"","","",nm1289434,tt0962736,movie,The Young Victoria,The Young Victoria,65470,nm0885249,nm0271501,actress,Emily Blunt,2009,105,7,0
17 Again,WB (NL),64167069,68135,tt0974661,16996,movie,212428,10,1,6.4,pg-13,10,3.55,17 again (2009),comedy|drama,"",2009,4,nm1374980,tt0974661,movie,17 Again,17 Again,211864,nm0824882,nm0276821,actor,Zac Efron,2009,102,6,0
The Class,SPC,3766810,58554,tt0988108,28205,movie,15654,10,1,7.9,"",2,3.5,class  the (klass) (2007),drama,"",2007,3,nm2424610,tt0988108,movie,The Class,Klass,15641,nm0704664,"nm0704664,nm2424610,nm2596976,nm2596491,nm2594643,nm2594049,nm2597188,nm2593131,nm2608092,nm2600758,nm2597112,nm2594764,nm3255994,nm3255516,nm4715069",actor,Vallo Kirs,2007,99,7,0
Sex and the City,WB (NL),152647258,59725,tt1000774,4564,movie,125899,10,1,5.7,r,11,2.41,sex and the city (2008),comedy|romance,"",2008,5,nm0000572,tt1000774,movie,Sex and the City,Sex and the City,125809,nm0455078,"nm0455078,nm0124299,nm0823015",actress,Sarah Jessica Parker,2008,145,5,0
Wall Street: Money Never Sleeps,Fox,52474616,80590,tt1027718,33909,movie,105631,10,1,6.2,pg-13,3,3.17,wall street: money never sleeps (2010),drama,"",2010,9,nm0479471,tt1027718,movie,Wall Street: Money Never Sleeps,Wall Street: Money Never Sleeps,105560,nm0000231,"nm1615610,nm0771496,nm0007140,nm0000231",actor,Shia LaBeouf,2010,133,6,0
The Invention of Lying,WB,18451251,71520,tt1058017,23082,movie,146995,10,1,6.3,pg-13,6,2.33,invention of lying  the (2009),comedy,"",2009,10,nm0315041,tt1058017,movie,The Invention of Lying,The Invention of Lying,146867,"nm2816668,nm0315041","nm0315041,nm2816668",actor,Ricky Gervais,2009,100,6,0
Boyhood,IFC,25352281,112290,tt1065073,85350,movie,363795,10,1,7.9,r,17,3.82,boyhood (2014),drama,"",2014,8,nm1294664,tt1065073,movie,Boyhood,Boyhood,363539,nm0000500,nm0000500,actor,Ellar Coltrane,2014,165,7,0
Race to Witch Mountain,BV,67172594,70305,tt1075417,13836,movie,62242,10,1,5.7,pg,2,3.5,race to witch mountain (2009),adventure|children|fantasy|sci-fi|thriller,"",2009,3,nm0425005,tt1075417,movie,Race to Witch Mountain,Race to Witch Mountain,62181,nm0275698,"nm2188941,nm0093560,nm0450720",actor,Dwayne Johnson,2009,98,5,0
Jonah Hex,WB,10547117,78467,tt1075747,20533,movie,61003,10,1,4.7,pg-13,4,1.88,jonah hex (2010),action|drama|thriller|western,"",2010,6,nm0000982,tt1075747,movie,Jonah Hex,Jonah Hex,60938,nm0371755,"nm0004410,nm0962729,nm1109098,nm2445025,nm1441218",actor,Josh Brolin,2010,81,4,0
Big Eyes,Wein.,14482031,118985,tt1126590,87093,movie,97600,10,1,7.0,pg-13,2,3.75,big eyes (2014),drama,1,2014,12,nm0010736,tt1126590,movie,Big Eyes,Big Eyes,97486,nm0000318,"nm0018735,nm0438989",actress,Amy Adams,2014,106,7,0
Drag Me to Hell,Uni.,42100625,68952,tt1127180,16871,movie,214372,10,1,6.6,pg-13,6,3.75,drag me to hell (2009),comedy|horror,"",2009,5,nm0517844,tt1127180,movie,Drag Me to Hell,Drag Me to Hell,213917,nm0000600,"nm0000600,nm0706898",actress,Alison Lohman,2009,99,6,0
Sin Nombre,Focus,2536665,68347,tt1127715,21191,movie,33812,10,1,7.5,r,1,4.0,sin nombre (2009),crime|drama|thriller,"",2009,4,nm2103508,tt1127715,movie,Sin Nombre,Sin nombre,33799,nm1560977,nm1560977,actress,Paulina Gaitan,2009,96,7,0
Shutter Island,Par.,128012934,74458,tt1130884,11324,movie,1408935,10,1,8.2,r,67,4.02,shutter island (2010),drama|mystery|thriller,7,2010,2,nm0000138,tt1130884,movie,Shutter Island,Shutter Island,1405848,nm0000217,"nm0436164,nm1212331",actor,Leonardo DiCaprio,2010,138,8,0
District 9,TriS,115646235,70286,tt1136608,17654,movie,705984,10,1,7.9,r,65,3.78,district 9 (2009),mystery|sci-fi|thriller,1,2009,8,nm1663205,tt1136608,movie,District 9,District 9,705269,nm0088955,"nm0088955,nm2833612",actor,Sharlto Copley,2009,112,7,0
Best Worst Movie,Abr.,109895,78746,tt1144539,40819,"","","","","","",1,4.0,best worst movie (2009),documentary,"","","",nm0362643,tt1144539,movie,Best Worst Movie,Best Worst Movie,8466,nm0827294,nm0827294,self,George Hardy,2009,93,7,0
Public Enemies,Uni.,97104620,69640,tt1152836,11322,movie,314275,10,1,7.0,r,9,3.06,public enemies (2009),crime|drama|thriller,"",2009,7,nm0000288,tt1152836,movie,Public Enemies,Public Enemies,313987,nm0000520,"nm0072032,nm0000520,nm0081189,nm0123174",actor,Christian Bale,2009,140,7,0
10 Cloverfield Lane,Par.,72082998,152077,tt1179933,333371,movie,347211,10,1,7.2,pg-13,14,3.68,10 cloverfield lane (2016),thriller,2,2016,3,nm0000422,tt1179933,movie,10 Cloverfield Lane,10 Cloverfield Lane,346739,nm0870469,"nm1061091,nm1173295,nm3227090",actor,John Goodman,2016,103,7,0
Waltz with Bashir,SPC,2283849,61236,tt1185616,8885,movie,59732,10,1,8.0,r,5,3.0,waltz with bashir (vals im bashir) (2008),animation|documentary|drama|war,"",2008,6,nm0284369,tt1185616,movie,Waltz with Bashir,Vals Im Bashir,59666,nm0284369,nm0284369,self,Ari Folman,2008,90,8,0
The Skin I Live In,SPC,3185812,89118,tt1189073,63311,movie,162348,10,1,7.6,r,4,3.0,skin i live in  the (la piel que habito) (2011),drama,"",2011,9,nm0000104,tt1189073,movie,The Skin I Live In,La piel que habito,162049,nm0000264,"nm0000264,nm0021948,nm0429617",actor,Antonio Banderas,2011,120,7,0
Enter the Void,IFC,336467,78836,tt1191111,34647,movie,86132,10,1,7.2,not rated,2,5.0,enter the void (2009),drama,"",2010,5,nm1140926,tt1191111,movie,Enter the Void,Enter the Void,85981,nm0637615,"nm0637615,nm0352968",actor,Nathaniel Brown,2009,161,7,0
Zookeeper,Sony,80360843,87867,tt1222817,38317,movie,64204,10,1,5.2,pg,4,2.75,zookeeper (2011),comedy,"",2011,7,nm0416673,tt1222817,movie,Zookeeper,Zookeeper,64132,nm0178997,"nm0048169,nm0720609,nm0416673,nm0771065,nm0740115",actor,Kevin James,2011,102,5,0
Burke and Hare,IFC,4833,84696,tt1320239,50204,movie,21142,10,1,6.1,r,1,4.0,burke and hare (2010),comedy|thriller,"",2011,9,nm0047155,tt1320239,movie,Burke and Hare,Burke & Hare,21122,nm0000484,"nm0039328,nm1319618",actor,Bill Bailey,2010,91,6,0
The Sitter,Fox,30441326,91323,tt1366344,57431,movie,72068,10,1,5.6,r,5,2.9,sitter  the (2011),comedy,"",2011,12,nm1706767,tt1366344,movie,The Sitter,The Sitter,72046,nm0337773,"nm2651299,nm0848966",actor,Jonah Hill,2011,81,5,0
Cloud Atlas,WB,27108272,97752,tt1371111,83542,movie,370659,10,1,7.4,r,19,3.74,cloud atlas (2012),drama|sci-fi|imax,"",2012,10,nm0000158,tt1371111,movie,Cloud Atlas,Cloud Atlas,370417,"nm0878756,nm0905154,nm0905152","nm3290967,nm0905154,nm0878756,nm0905152,nm4339295",actor,Tom Hanks,2012,172,7,0
In the Heart of the Sea,WB,25020758,117466,tt1390411,205775,movie,146227,10,1,6.9,pg-13,3,3.5,in the heart of the sea (2015),action|adventure|drama,"",2015,12,nm1165110,tt1390411,movie,In the Heart of the Sea,In the Heart of the Sea,146043,nm0000165,"nm0495378,nm0415425,nm0798646,nm1090930",actor,Chris Hemsworth,2015,122,6,0
Mad Max: Fury Road,WB,154058340,122882,tt1392190,76341,movie,1055734,10,1,8.1,r,47,3.82,mad max: fury road (2015),action|adventure|sci-fi|thriller,3,2015,5,nm0362766,tt1392190,movie,Mad Max: Fury Road,Mad Max: Fury Road,1054160,nm0004306,"nm0004306,nm0565068,nm0490147",actor,Tom Hardy,2015,120,8,0
The Hangover Part II,WB,254464305,86911,tt1411697,45243,movie,524297,10,1,6.5,r,15,3.27,hangover part ii  the (2011),comedy,"",2011,5,nm0177896,tt1411697,movie,The Hangover Part II,The Hangover Part II,523739,nm0680846,"nm0563301,nm0035905,nm0680846,nm0524190,nm0601859",actor,Bradley Cooper,2011,102,6,0
You Again,BV,25702053,80858,tt1414382,38303,movie,53772,10,1,5.7,pg,1,3.5,you again (2010),comedy,"",2010,9,nm0068338,tt1414382,movie,You Again,You Again,53732,nm0275698,nm0420596,actress,Kristen Bell,2010,105,5,0
Pearl Jam Twenty,Abr.,471334,89386,tt1417592,72744,movie,8111,10,1,8.2,not rated,1,0.5,pearl jam twenty (2011),documentary|musical,"",2011,10,nm0891641,tt1417592,movie,Pearl Jam Twenty,Pearl Jam Twenty,8104,nm0001081,nm0001081,self,Eddie Vedder,2011,119,8,0
Disconnect,LD,1436900,101973,tt1433811,127517,movie,77619,10,1,7.5,r,1,1.5,disconnect (2012),drama|thriller,"",2013,7,nm0000867,tt1433811,movie,Disconnect,Disconnect,77576,nm0748066,nm0827632,actor,Jason Bateman,2012,115,7,0
Perfect Sense,IFC,2959,92694,tt1439572,51999,movie,62847,10,1,7.0,r,2,4.25,perfect sense (2011),drama|romance|sci-fi,"",2011,10,nm0000191,tt1439572,movie,Perfect Sense,Perfect Sense,62749,nm0533284,nm0007344,actor,Ewan McGregor,2011,92,7,0
Heartbreaker,IFC,504030,81383,tt1465487,41211,movie,27381,10,1,6.7,not rated,1,2.5,heartbreaker (l'arnacoeur) (2010),comedy|romance,"",2010,3,nm0244151,tt1465487,movie,Heartbreaker,L'arnacoeur,27365,nm0154312,"nm1552771,nm0232442,nm3557725",actor,Romain Duris,2010,105,6,0
Paranormal Activity 2,Par.,84752907,81417,tt1536044,41436,movie,108591,10,1,5.7,r,5,3.7,paranormal activity 2 (2010),horror|imax,"",2010,10,nm2209370,tt1536044,movie,Paranormal Activity 2,Paranormal Activity 2,108489,nm0931095,"nm0675219,nm0484907,nm2317082,nm2305431",actress,Katie Featherston,2010,91,5,0
The Guard,SPC,5360274,88235,tt1540133,67913,movie,93870,10,1,7.3,r,4,3.63,guard  the (2011),comedy|crime,"",2011,7,nm0322407,tt1540133,movie,The Guard,The Guard,93777,nm0567620,nm0567620,actor,Brendan Gleeson,2011,96,7,0
War Horse,BV,79884879,91126,tt1568911,57212,movie,163472,10,1,7.2,pg-13,3,3.0,war horse (2011),drama|war,"",2011,12,nm3528539,tt1568911,movie,War Horse,War Horse,163247,nm0000229,"nm0355822,nm0193485,nm0606190,nm4312900",actor,Jeremy Irvine,2011,146,7,0
Frank,Magn.,645186,112421,tt1605717,171372,movie,81560,10,1,6.9,r,3,4.33,frank (2014),comedy|drama|mystery,6,2014,9,nm1055413,tt1605717,movie,Frank,Frank,81486,nm1049433,"nm0740160,nm1661186",actor,Michael Fassbender,2014,95,6,0
Alvin and the Chipmunks: Chipwrecked,Fox,133110742,91671,tt1615918,55301,"","","","","","",2,1.0,alvin and the chipmunks: chipwrecked (2011),animation|comedy,"","","",nm0519043,tt1615918,movie,Alvin and the Chipmunks: Chipwrecked,Alvin and the Chipmunks: Chipwrecked,38391,nm0593610,"nm0008743,nm0074184,nm0046564,nm0439739",actor,Justin Long,2011,87,4,0
J. Edgar,WB,37306030,90719,tt1616195,88794,movie,132312,10,1,6.5,r,1,2.5,j. edgar (2011),drama,"",2011,11,nm0000138,tt1616195,movie,J. Edgar,J. Edgar,132201,nm0000142,nm0085257,actor,Leonardo DiCaprio,2011,137,6,0
Million Dollar Arm,BV,36457627,111795,tt1647668,198185,movie,47386,10,1,7.0,pg,1,3.0,million dollar arm (2014),comedy|drama,"",2014,5,nm0358316,tt1647668,movie,Million Dollar Arm,Million Dollar Arm,47353,nm0318916,nm0565336,actor,Jon Hamm,2014,124,7,0
The Dark Tower,Sony,50701325,175197,tt1648190,353491,movie,143984,10,1,5.6,pg-13,1,3.5,the dark tower (2017),fantasy|horror|sci-fi|western,"",2017,8,nm0252961,tt1648190,movie,The Dark Tower,The Dark Tower,143827,nm1064048,"nm0326040,nm0684374,nm0421314,nm1064048,nm0000175",actor,Idris Elba,2017,95,5,0
Wild Oats,W/Dim.,40598,165139,tt1655461,406992,movie,4568,10,1,5.7,pg-13,1,2.0,wild oats (2016),comedy,"",2016,9,nm0000511,tt1655461,movie,Wild Oats,Wild Oats,4566,nm0855035,"nm0616673,nm0437594",actress,Shirley MacLaine,2016,86,5,0
The Guilt Trip,Par.,37134215,99106,tt1694020,82687,movie,38305,10,1,5.8,pg-13,3,2.5,guilt trip  the (2012),comedy,"",2012,12,nm0000659,tt1694020,movie,The Guilt Trip,The Guilt Trip,38282,nm0281945,"nm1557594,nm9209737",actress,Barbra Streisand,2012,95,5,0
Genius,RAtt.,1361045,160400,tt1703957,267192,"","","","","","",1,3.0,genius (2016),drama,"","","",nm0000147,tt1703957,movie,Genius,Genius,20879,nm0334787,"nm0517589,nm1044809",actor,Colin Firth,2016,104,6,0
Snowpiercer,RTWC,4563650,107406,tt1706620,110415,movie,380554,10,1,7.1,r,21,3.43,snowpiercer (2013),action|drama|sci-fi,1,2014,7,nm0262635,tt1706620,movie,Snowpiercer,Snowpiercer,379866,nm0094435,"nm2441468,nm0499429,nm2440893,nm0094435,nm1031176",actor,Chris Evans,2013,126,7,0
Ender's Game,LG/S,61737191,106002,tt1731141,80274,movie,250366,10,1,6.6,pg-13,16,3.44,ender's game (2013),action|adventure|sci-fi|imax,"",2013,11,nm0000148,tt1731141,movie,Ender's Game,Ender's Game,250159,nm0004303,"nm0004303,nm0136298",actor,Harrison Ford,2013,114,6,0
The Place Beyond the Pines,Focus,21403519,101525,tt1817273,97367,movie,284666,10,1,7.3,r,5,3.5,place beyond the pines  the (2012),crime|drama,"",2013,4,nm0331516,tt1817273,movie,The Place Beyond the Pines,The Place Beyond the Pines,284255,nm0161834,"nm0161834,nm1397579,nm2942187",actor,Ryan Gosling,2012,140,7,0
The Raid: Redemption,SPC,4105187,93838,tt1899353,94329,movie,213744,10,1,7.6,r,9,4.33,the raid: redemption (2011),action|crime,"",2012,4,nm3299397,tt1899353,movie,The Raid: Redemption,Serbuan maut,213552,nm2153088,nm2153088,actor,Iko Uwais,2011,101,7,0
Chinese Puzzle,Cohen,338523,108078,tt1937118,206408,movie,15120,10,1,6.9,r,1,5.0,chinese puzzle (casse-tête chinois) (2013),comedy|romance,"",2014,5,nm0244151,tt1937118,movie,Chinese Puzzle,Casse-tête chinois,15110,nm0458251,nm0458251,actor,Romain Duris,2013,117,6,0
Begin Again,Wein.,16170632,111622,tt1980929,198277,movie,164043,10,1,7.4,r,3,4.0,begin again (2013),comedy|romance,"",2014,7,nm0461136,tt1980929,movie,Begin Again,Begin Again,163766,nm0138809,nm0138809,actress,Keira Knightley,2013,104,7,0
All Is Lost,RAtt.,6263670,105954,tt2017038,152747,movie,82971,10,1,6.9,pg-13,4,3.63,all is lost (2013),action|adventure|drama,"",2013,10,nm0000602,tt2017038,movie,All Is Lost,All Is Lost,82845,nm1170855,nm1170855,actor,Robert Redford,2013,106,6,0
Steve Jobs,Uni.,17766658,136562,tt2080374,321697,movie,176108,10,1,7.2,r,6,3.75,steve jobs (2015),drama,"",2015,10,nm1055413,tt2080374,movie,Steve Jobs,Steve Jobs,175896,nm0000965,"nm0815070,nm0410596",actor,Michael Fassbender,2015,122,7,0
Transformers: Age of Extinction,Par.,245439076,112370,tt2109248,91314,movie,327774,10,1,5.6,pg-13,4,1.88,transformers: age of extinction (2014),action|adventure|sci-fi,"",2014,6,nm0000242,tt2109248,movie,Transformers: Age of Extinction,Transformers: Age of Extinction,327522,nm0000881,nm0472567,actor,Mark Wahlberg,2014,165,5,0
The History of Future Folk,Vari.,17646,104875,tt2245195,115199,movie,3665,10,1,7.0,not rated,2,4.0,history of future folk  the (2012),adventure|comedy|musical|sci-fi,1,2013,5,nm2297889,tt2245195,movie,The History of Future Folk,The History of Future Folk,3663,"nm1006056,nm0907844",nm1006056,actor,Nils d'Aulaire,2012,86,7,0
The Grand Budapest Hotel,FoxS,59301324,109374,tt2278388,120467,movie,865035,10,1,8.1,r,52,3.78,grand budapest hotel  the (2014),comedy|drama,"",2014,3,nm0000146,tt2278388,movie,The Grand Budapest Hotel,The Grand Budapest Hotel,863454,nm0027572,"nm0959003,nm0027572,nm2450453",actor,Ralph Fiennes,2014,99,8,0
The Great Beauty,Jan.,2852400,103984,tt2358891,179144,movie,95871,10,1,7.7,not rated,3,3.5,great beauty  the (grande bellezza  la) (2013),comedy|drama,"",2014,3,nm0785842,tt2358891,movie,The Great Beauty,La grande bellezza,95740,nm0815204,"nm0815204,nm0176197",actor,Toni Servillo,2013,141,7,0
Need for Speed,BV,43577636,109850,tt2369135,136797,movie,176604,10,1,6.4,pg-13,2,3.75,need for speed (2014),action|crime|drama|imax,"",2014,3,nm0666739,tt2369135,movie,Need for Speed,Need for Speed,176473,nm0915304,"nm1038345,nm0309691",actor,Aaron Paul,2014,132,6,0
The Peanuts Movie,Fox,130178411,145935,tt2452042,227973,movie,48831,10,1,7.0,g,1,1.5,peanuts movie  the (2015),adventure|animation|children|comedy,"",2015,11,nm6907855,tt2452042,movie,The Peanuts Movie,The Peanuts Movie,48745,nm0553942,"nm0776441,nm2421049,nm2370700,nm0776433",actor,Noah Schnapp,2015,88,7,0
Alice Through the Looking Glass,BV,77041381,158813,tt2567026,241259,movie,118651,10,1,6.2,pg,4,2.0,alice through the looking glass (2016),adventure|children|fantasy,"",2016,5,nm1985859,tt2567026,movie,Alice Through the Looking Glass,Alice Through the Looking Glass,118367,nm0090386,"nm0941314,nm0140902",actress,Mia Wasikowska,2016,113,6,0
The Tale of The Princess Kaguya,GK,703232,114554,tt2576852,149871,movie,51670,10,1,8.0,pg,1,1.0,tale of princess kaguya  the (kaguyahime no monogatari) (2013),animation|drama|fantasy,"",2013,11,nm1631269,tt2576852,movie,The Tale of The Princess Kaguya,Kaguya-hime no monogatari,51533,nm0847223,"nm0847223,nm4940865",actress,Chloë Grace Moretz,2013,137,8,0
Star Trek Beyond,Par.,158848340,135569,tt2660888,188927,movie,255210,10,1,7.0,pg-13,15,3.47,star trek beyond (2016),action|adventure|sci-fi,"",2016,7,nm1517976,tt2660888,movie,Star Trek Beyond,Star Trek Beyond,254998,nm0510912,"nm0670408,nm1136647,nm0734472,nm0649460,nm4259881,nm4260438",actor,Chris Pine,2016,122,7,0
Night at the Museum: Secret of the Tomb,Fox,113746621,119155,tt2692250,181533,movie,132218,10,1,6.2,pg,6,3.5,night at the museum: secret of the tomb (2014),adventure|children|comedy|fantasy,"",2014,12,nm0001774,tt2692250,movie,Night at the Museum: Secret of the Tomb,Night at the Museum: Secret of the Tomb,131932,nm0506613,"nm1115862,nm1911349,nm0295296,nm0502073,nm0304830",actor,Ben Stiller,2014,98,6,0
L.A. Slasher,AD,2421,143559,tt2735292,323792,movie,957,10,1,3.2,r,1,5.0,l.a. slasher (2015),comedy|crime|fantasy,"",2016,6,nm0004873,tt2735292,movie,L.A. Slasher,L.A. Slasher,956,nm1966532,"nm1966532,nm5665029,nm4707696,nm2423129,nm3260524",actor,Andy Dick,2015,84,3,0
Leviathan,MGM,15704614,116138,tt2802154,265180,movie,56011,10,1,7.6,r,1,2.0,leviathan (2014),drama,"",2015,2,nm0148516,tt2802154,movie,Leviathan,Leviafan,55955,nm1168657,"nm2697466,nm1168657",actor,Aleksey Serebryakov,2014,140,7,0
Coherence,Osci.,102617,113741,tt2866360,220289,"","","","","","",2,4.0,coherence (2013),drama|mystery|sci-fi|thriller,"","","",nm2032150,tt2866360,movie,Coherence,Coherence,141287,nm0126096,"nm0126096,nm1178832",actress,Emily Baldoni,2013,89,7,0
Shaun the Sheep Movie,LGF,19375982,131656,tt2872750,263109,movie,42653,10,1,7.3,pg,2,3.0,shaun the sheep movie (2015),adventure|animation|children|comedy,"",2015,8,nm1017994,tt2872750,movie,Shaun the Sheep Movie,Shaun the Sheep Movie,42598,"nm0123666,nm0326450","nm0123666,nm0326450,nm0661910",actor,Justin Fletcher,2015,85,7,0
Chef,ORF,31424003,111443,tt2883512,212778,movie,226654,10,1,7.3,r,2,2.75,chef (2014),comedy,"",2014,5,nm0269463,tt2883512,movie,Chef,Chef,226385,nm0269463,nm0269463,actor,Jon Favreau,2014,114,7,0
Hot Pursuit,WB (NL),34580201,133798,tt2967224,268920,movie,53384,10,1,5.1,pg-13,1,1.5,hot pursuit (2015),action|comedy,"",2015,5,nm0000702,tt2967224,movie,Hot Pursuit,Hot Pursuit,53337,nm0281945,"nm1068488,nm1735367",actress,Reese Witherspoon,2015,87,5,0
Hot Pursuit,Par.,4215849,133798,tt2967224,268920,movie,53384,10,1,5.1,pg-13,1,1.5,hot pursuit (2015),action|comedy,"",2015,5,nm0000702,tt2967224,movie,Hot Pursuit,Hot Pursuit,53337,nm0281945,"nm1068488,nm1735367",actress,Reese Witherspoon,2015,87,5,0
Batman v Superman: Dawn of Justice,WB,330360194,136864,tt2975590,209112,movie,742605,10,1,6.5,pg-13,16,2.34,batman v superman: dawn of justice (2016),action|adventure|fantasy|sci-fi,9,2016,3,nm0000255,tt2975590,movie,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,741954,nm0811583,"nm0004170,nm0277730,nm0796950,nm0795975,nm0551376,nm0006516,nm0275286",actor,Ben Affleck,2016,151,6,0
Still Alice,SPC,18754371,117881,tt3316960,284293,movie,141502,10,1,7.5,pg-13,5,3.8,still alice (2014),drama,"",2015,2,nm0000194,tt3316960,movie,Still Alice,Still Alice,141374,"nm0922903,nm0322144","nm0322144,nm0922903,nm5581694",actress,Julianne Moore,2014,101,7,0
Thor: Ragnarok,BV,315058289,122916,tt3501632,284053,movie,798064,10,1,7.9,pg-13,20,4.03,thor: ragnarok (2017),action|adventure|sci-fi,5,2017,11,nm1165110,tt3501632,movie,Thor: Ragnarok,Thor: Ragnarok,796378,nm0169806,"nm3069408,nm1219736,nm1236653,nm0498278,nm1293367,nm0456158,nm0657062,nm1277476,nm4160541",actor,Chris Hemsworth,2017,130,7,0
Ashby,TFA,4631,143257,tt3774466,330112,movie,16091,10,1,6.4,r,2,3.0,ashby (2015),comedy|drama,"",2015,9,nm0000620,tt3774466,movie,Ashby,Ashby,16081,nm1110111,nm1110111,actor,Mickey Rourke,2015,100,6,0
Guardians of the Galaxy Vol. 2,BV,389813101,122918,tt3896198,283995,movie,740881,10,1,7.6,pg-13,27,3.93,guardians of the galaxy 2 (2017),action|adventure|sci-fi,1,2017,5,nm0695435,tt3896198,movie,Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol. 2,739627,nm0348181,"nm0348181,nm3966115,nm5037683,nm1921680,nm3053444,nm4160687,nm0498278,nm1293367,nm0456158,nm2757098,nm0317493,nm0314153,nm0562554",actor,Chris Pratt,2017,136,7,0
Tomorrow,UTMW,62511,150696,tt4449576,371492,movie,3546,10,1,7.9,g,1,4.5,tomorrow (2015),documentary,"",2017,4,nm7770647,tt4449576,movie,Tomorrow,Demain,3544,"nm4185610,nm0491259",nm4185610,self,Anthony Barnosky,2015,118,7,0
Gifted,FoxS,24801212,170697,tt4481414,400928,movie,126827,10,1,7.6,pg-13,4,4.13,gifted (2017),drama,"",2017,4,nm0262635,tt4481414,movie,Gifted,Gifted,126607,nm1989536,nm0002368,actor,Chris Evans,2017,101,7,0
The House,WB (NL),25584504,174815,tt4481514,345914,movie,46271,10,1,5.6,r,1,3.5,the house (2017),comedy,"",2017,6,nm0002071,tt4481514,movie,The House,The House,46201,nm1157527,"nm1895993,nm1157527",actor,Will Ferrell,2017,88,5,0
Kingsman: The Golden Circle,Fox,100234838,176101,tt4649466,343668,movie,353013,10,1,6.7,r,8,3.06,kingsman: the golden circle (2017),action|adventure|comedy,"",2017,9,nm5473782,tt4649466,movie,Kingsman: The Golden Circle,Kingsman: The Golden Circle,352304,nm0891216,"nm0963359,nm0891216,nm2092839,nm1733301",actor,Taron Egerton,2017,141,6,0
Bad Moms,STX,113257297,161580,tt4651520,376659,movie,132448,10,1,6.2,r,3,3.83,bad moms (2016),comedy,"",2016,7,nm0005109,tt4651520,movie,Bad Moms,Bad Moms,132262,"nm0601859,nm0524190","nm0524190,nm0601859",actress,Mila Kunis,2016,100,6,0
Rough Night,Sony,22105643,171867,tt4799050,397422,movie,54901,10,1,5.2,r,2,3.25,rough night (2017),comedy|drama,"",2017,6,nm0424060,tt4799050,movie,Rough Night,Rough Night,54826,nm3622659,"nm3622659,nm3625953",actress,Scarlett Johansson,2017,101,5,0
Good Time,A24,2026499,174727,tt4846232,429200,movie,134782,10,1,7.3,r,1,3.0,good time (2017),crime|drama,"",2017,8,nm1500155,tt4846232,movie,Good Time,Good Time,134469,"nm1509478,nm1343394","nm2563482,nm1343394",actor,Robert Pattinson,2017,102,7,0
Hidden Figures,Fox,169607287,166643,tt4846340,381284,"","","","","","",10,3.8,hidden figures (2016),drama,"","","",nm0378245,tt4846340,movie,Hidden Figures,Hidden Figures,247434,nm0577647,"nm2284377,nm0577647,nm7446421",actress,Taraji P. Henson,2016,127,7,0
Lady Bird,A24,48958273,177615,tt4925292,391713,movie,316462,10,1,7.4,r,3,3.33,lady bird (2017),comedy,"",2017,12,nm1519680,tt4925292,movie,Lady Bird,Lady Bird,315752,nm1950086,nm1950086,actress,Saoirse Ronan,2017,94,7,0
Risk,Neon,200219,165843,tt4964772,393561,"","","","","","",1,4.0,risk (2016),documentary,"","","",nm4006677,tt4964772,movie,Risk,Risk,2332,nm0688636,"nm0649165,nm0688636",self,Julian Assange,2016,86,6,0
Split,Uni.,138291365,166534,tt4972582,381288,movie,534449,10,1,7.3,pg-13,6,3.33,split (2017),drama|horror|thriller,"",2017,1,nm0564215,tt4972582,movie,Split,Split,533260,nm0796117,nm0796117,actor,James McAvoy,2016,117,7,0
