title,title_lc,studio,directors,contentRate,rnTimeMin,genres,rlYr,rlMnth,type,primaryName,category,numVotes,imdbRtCnt,imdbRtBest,imdbRtWorst,imdbRtAvg,slRateCnt,slRateAvg,gross
The Truth About Cats & Dogs,truth about cats & dogs  the (1996),0.0,3.0,3.0,97.0,256.0,8.0,8.0,1.0,5.0,121.0,28801.0,28820.0,10.0,1.0,6.3,58.0,3.39,3.4861807E7
Good Burger,good burger (1997),0.0,15.0,4.0,95.0,1717.0,14.0,14.0,0.0,8.0,86.0,31414.0,31495.0,10.0,1.0,5.8,2.0,2.0,2.3712993E7
Glengarry Glen Ross,glengarry glen ross (1992),0.0,0.0,9.0,100.0,34.0,24.0,24.0,0.0,0.0,106.0,113170.0,113355.0,10.0,1.0,7.7,15.0,3.67,1.0725228E7
Zeus and Roxanne,zeus and roxanne (1997),0.0,317.0,7.0,98.0,204.0,14.0,14.0,0.0,10.0,748.0,3184.0,3185.0,10.0,1.0,5.3,1.0,1.0,7233324.0
Cloudy with a Chance of Meatballs,cloudy with a chance of meatballs (2009),0.0,577.0,5.0,90.0,168.0,19.0,19.0,1.0,6.0,978.0,250627.0,251077.0,10.0,1.0,6.9,17.0,3.53,1.24870275E8
Fear,fear (1996),1.0,16.0,1.0,97.0,32.0,93.0,93.0,0.0,12.0,106.0,52299.0,0.0,0.0,0.0,0.0,7.0,3.29,2.0831E7
Doomsday,doomsday (2008),0.0,122.0,62.0,113.0,818.0,10.0,10.0,1.0,2.0,961.0,79050.0,79105.0,10.0,1.0,5.9,1.0,4.0,1.100877E7
Better Than Sex,better than sex (2000),0.0,3.0,34.0,95.0,650.0,13.0,13.0,0.0,4.0,2329.0,2257.0,2258.0,10.0,1.0,6.3,1.0,3.5,19521.0
Arthur,arthur (2011),0.0,1.0,0.0,110.0,832.0,17.0,17.0,0.0,5.0,2406.0,52735.0,52760.0,10.0,1.0,5.7,6.0,3.0,9.5461682E7
The Incredible Shrinking Woman,incredible shrinking woman  the (1981),0.0,35.0,1.0,88.0,516.0,37.0,37.0,1.0,10.0,9.0,5051.0,5057.0,10.0,1.0,5.5,2.0,2.0,2.0259961E7
The Master of Disguise,master of disguise  the (2002),0.0,165.0,28.0,80.0,640.0,0.0,0.0,0.0,1.0,1400.0,26693.0,26729.0,10.0,1.0,3.3,7.0,1.86,4.0388794E7
Ed Wood,ed wood (1994),0.0,2.0,2.0,127.0,5.0,21.0,21.0,0.0,0.0,13.0,181798.0,181960.0,10.0,1.0,7.8,70.0,3.68,5887457.0
Standing in the Shadows of Motown,standing in the shadows of motown (2002),1.0,144.0,29.0,108.0,1608.0,93.0,93.0,2.0,12.0,1810.0,3806.0,0.0,0.0,0.0,0.0,3.0,3.5,1722119.0
Transformers: Revenge of the Fallen,transformers: revenge of the fallen (2009),0.0,58.0,27.0,149.0,88.0,19.0,19.0,0.0,7.0,57.0,422402.0,422723.0,10.0,1.0,6.0,20.0,2.43,4.0211187E8
The Sum of Us,sum of us  the (1994),1.0,2.0,20.0,100.0,1514.0,93.0,93.0,0.0,12.0,1445.0,5743.0,0.0,0.0,0.0,0.0,1.0,4.0,766464.0
Ridicule,ridicule (1996),0.0,0.0,6.0,102.0,1146.0,8.0,8.0,0.0,4.0,419.0,8052.0,8056.0,10.0,1.0,7.3,6.0,3.58,1979768.0
Children of Heaven,children of heaven  the (bacheha-ye aseman) (1997),1.0,2.0,6.0,89.0,1985.0,93.0,93.0,0.0,12.0,511.0,78696.0,0.0,0.0,0.0,0.0,1.0,4.0,933933.0
Rubber,rubber (2010),0.0,370.0,16.0,82.0,2321.0,18.0,18.0,0.0,4.0,2518.0,39479.0,39544.0,10.0,1.0,5.7,2.0,3.75,100370.0
Total Recall,total recall (1990),0.0,42.0,5.0,113.0,12.0,26.0,26.0,0.0,7.0,142.0,346785.0,347256.0,10.0,1.0,7.5,88.0,3.65,1.19412921E8
Party Girl,party girl (1995),0.0,1.0,45.0,94.0,531.0,9.0,9.0,1.0,7.0,660.0,6144.0,6175.0,10.0,1.0,6.5,4.0,4.13,472370.0
54,54 (1998),0.0,0.0,6.0,93.0,296.0,6.0,6.0,0.0,1.0,1492.0,34187.0,34214.0,10.0,1.0,5.9,5.0,2.0,1.6757163E7
Devils on the Doorstep,devils on the doorstep (guizi lai le) (2000),0.0,14.0,72.0,139.0,880.0,4.0,4.0,0.0,2.0,917.0,8373.0,8386.0,10.0,1.0,8.2,1.0,4.0,18944.0
Echelon Conspiracy,echelon conspiracy (2009),0.0,124.0,123.0,105.0,845.0,19.0,19.0,0.0,9.0,2455.0,19841.0,19849.0,10.0,1.0,5.7,1.0,2.0,666009.0
Heaven,heaven (2002),0.0,0.0,6.0,97.0,81.0,0.0,0.0,1.0,9.0,246.0,26290.0,26307.0,10.0,1.0,7.0,2.0,3.75,784399.0
Love and Death,love and death (1975),0.0,1.0,18.0,85.0,33.0,46.0,46.0,0.0,6.0,0.0,40167.0,40210.0,10.0,1.0,7.7,9.0,4.22,2.0123742E7
Almost Heroes,almost heroes (1998),0.0,226.0,0.0,90.0,326.0,6.0,6.0,0.0,11.0,266.0,17362.0,17413.0,10.0,1.0,5.7,2.0,2.0,6136856.0
The Hunchback of Notre Dame,hunchback of notre dame  the (1923),1.0,83.0,2.0,133.0,1817.0,93.0,93.0,0.0,12.0,2416.0,5951.0,0.0,0.0,0.0,0.0,1.0,3.0,1.00138851E8
Gravity,gravity (2013),0.0,221.0,0.0,91.0,38.0,22.0,22.0,1.0,0.0,287.0,850565.0,851273.0,10.0,1.0,7.7,32.0,3.58,2.74092705E8
Sightseers,sightseers (2012),0.0,1.0,13.0,88.0,950.0,22.0,22.0,1.0,11.0,253.0,29896.0,29913.0,10.0,1.0,6.5,1.0,4.5,61782.0
Rollerball,rollerball (1975),0.0,121.0,7.0,125.0,179.0,46.0,46.0,0.0,7.0,51.0,27942.0,28009.0,10.0,1.0,6.5,4.0,3.5,1.8990798E7
Tombstone,tombstone (1993),0.0,286.0,2.0,130.0,54.0,23.0,23.0,0.0,3.0,1524.0,160610.0,160940.0,10.0,1.0,7.8,65.0,3.82,5.6505065E7
The Green Hornet,green hornet  the (2011),0.0,432.0,5.0,119.0,160.0,17.0,17.0,0.0,10.0,222.0,163486.0,163553.0,10.0,1.0,5.8,11.0,3.0,9.8780042E7
True Romance,true romance (1993),0.0,23.0,0.0,119.0,106.0,23.0,23.0,0.0,6.0,17.0,237668.0,237960.0,10.0,1.0,7.9,65.0,3.8,1.2281551E7
The Anarchist Cookbook,anarchist cookbook  the (2002),1.0,3.0,247.0,101.0,1265.0,93.0,93.0,0.0,12.0,2309.0,1406.0,0.0,0.0,0.0,0.0,1.0,4.0,14369.0
The Call,call  the (2013),0.0,7.0,12.0,96.0,475.0,22.0,22.0,1.0,2.0,277.0,128120.0,128244.0,10.0,1.0,6.7,1.0,1.5,5.1872378E7
Camp,camp (2003),0.0,101.0,13.0,114.0,1279.0,2.0,2.0,0.0,1.0,876.0,6112.0,6113.0,10.0,1.0,6.2,2.0,3.25,1629862.0
Pretty Woman,pretty woman (1990),0.0,3.0,2.0,119.0,46.0,26.0,26.0,0.0,2.0,18.0,345514.0,346130.0,10.0,1.0,7.1,135.0,3.49,1.78406268E8
Blood Work,blood work (2002),1.0,39.0,0.0,110.0,2.0,93.0,93.0,0.0,12.0,2.0,46932.0,0.0,0.0,0.0,0.0,3.0,3.33,2.6235081E7
The Wild,wild  the (2006),0.0,71.0,2.0,95.0,507.0,3.0,3.0,0.0,5.0,2400.0,27173.0,27209.0,10.0,1.0,5.2,1.0,2.5,3.7384046E7
Revenge of the Pink Panther,revenge of the pink panther (1978),0.0,12.0,18.0,99.0,197.0,40.0,40.0,0.0,8.0,105.0,22755.0,22793.0,10.0,1.0,6.6,2.0,3.25,4.9579269E7
Formula 51,formula 51 (2001),0.0,62.0,24.0,93.0,76.0,0.0,0.0,0.0,0.0,673.0,50528.0,50551.0,10.0,1.0,6.3,3.0,2.67,5204007.0
Los Angeles Plays Itself,los angeles plays itself (2003),0.0,6.0,203.0,169.0,1342.0,93.0,93.0,0.0,12.0,1322.0,2622.0,2632.0,10.0,1.0,7.8,1.0,3.5,6945.0
Ben X,ben x (2007),0.0,0.0,126.0,93.0,1866.0,1.0,1.0,1.0,6.0,1355.0,19272.0,19279.0,10.0,1.0,7.3,1.0,3.5,1601.0
Friends with Kids,friends with kids (2011),0.0,1.0,32.0,107.0,710.0,15.0,15.0,1.0,2.0,2391.0,42917.0,42921.0,10.0,1.0,6.1,3.0,3.67,7251073.0
Dominion: Prequel to the Exorcist,dominion: prequel to the exorcist (2005),0.0,9.0,0.0,117.0,550.0,7.0,7.0,0.0,1.0,108.0,13098.0,13158.0,10.0,1.0,5.2,1.0,2.5,251495.0
Club Paradise,club paradise (1986),1.0,1.0,0.0,96.0,10.0,93.0,93.0,0.0,12.0,55.0,6729.0,0.0,0.0,0.0,0.0,1.0,2.0,1.2308521E7
Communion,communion (1989),1.0,85.0,9.0,109.0,139.0,93.0,93.0,0.0,12.0,984.0,7250.0,0.0,0.0,0.0,0.0,2.0,3.5,1919653.0
The Beautician and the Beast,beautician and the beast  the (1997),0.0,3.0,4.0,105.0,1378.0,14.0,14.0,1.0,9.0,171.0,9834.0,9839.0,10.0,1.0,5.5,3.0,1.83,1.148688E7
Under Suspicion,under suspicion (2000),0.0,23.0,14.0,110.0,85.0,13.0,13.0,0.0,4.0,120.0,27117.0,27141.0,10.0,1.0,6.4,2.0,2.5,260562.0
The Four Feathers,four feathers  the (2002),0.0,567.0,4.0,132.0,177.0,0.0,0.0,0.0,6.0,724.0,35144.0,35174.0,10.0,1.0,6.5,2.0,2.75,1.8306166E7
The Imposter,imposter  the (2012),1.0,6.0,166.0,99.0,903.0,93.0,93.0,0.0,12.0,2614.0,49745.0,0.0,0.0,0.0,0.0,2.0,4.75,898317.0
Chocolat,chocolat (1988),0.0,0.0,6.0,105.0,690.0,93.0,93.0,0.0,12.0,1567.0,4217.0,4233.0,10.0,1.0,7.3,4.0,3.38,7.1509363E7
Jack Frost,jack frost (1998),0.0,97.0,0.0,101.0,63.0,6.0,6.0,0.0,3.0,746.0,38919.0,38992.0,10.0,1.0,5.4,8.0,1.94,3.4562556E7
Blaze,blaze (1989),0.0,2.0,2.0,120.0,74.0,27.0,27.0,0.0,3.0,160.0,4108.0,4115.0,10.0,1.0,6.0,1.0,2.0,1.9131246E7
Ghost Rider,ghost rider (2007),0.0,219.0,5.0,110.0,0.0,1.0,1.0,0.0,9.0,412.0,248365.0,248645.0,10.0,1.0,5.3,12.0,2.25,1.15802596E8
The Awakening,awakening  the (1980),0.0,11.0,0.0,105.0,215.0,36.0,36.0,0.0,0.0,80.0,2746.0,2764.0,10.0,1.0,4.8,1.0,3.0,8415112.0
Mr. Mom,mr. mom (1983),0.0,2.0,3.0,91.0,63.0,35.0,35.0,0.0,1.0,392.0,26904.0,26953.0,10.0,1.0,6.6,15.0,2.73,6.4783827E7
The Faculty,faculty  the (1998),0.0,56.0,6.0,104.0,727.0,6.0,6.0,1.0,3.0,152.0,132371.0,132575.0,10.0,1.0,6.6,23.0,2.48,4.0283321E7
The Cuckoo,cuckoo  the (kukushka) (2002),0.0,194.0,8.0,99.0,995.0,0.0,0.0,1.0,6.0,2176.0,7890.0,7893.0,10.0,1.0,7.7,1.0,3.5,243936.0
Oliver Twist,oliver twist (2005),0.0,0.0,5.0,130.0,1030.0,7.0,7.0,0.0,6.0,32.0,33895.0,33913.0,10.0,1.0,6.8,3.0,3.5,2080321.0
Top Gun,top gun (1986),0.0,483.0,4.0,109.0,3.0,30.0,30.0,0.0,11.0,17.0,486936.0,487802.0,10.0,1.0,6.9,83.0,3.3,1.79800601E8
Silver Linings Playbook,silver linings playbook (2012),0.0,2.0,22.0,122.0,137.0,15.0,15.0,0.0,3.0,124.0,731158.0,731888.0,10.0,1.0,7.7,30.0,3.72,1.32092958E8
Maze Runner: The Scorch Trials,maze runner: scorch trials (2015),1.0,18.0,3.0,131.0,335.0,93.0,93.0,0.0,12.0,685.0,267460.0,0.0,0.0,0.0,0.0,6.0,1.83,8.1697192E7
The Dream Team,dream team  the (1989),1.0,1.0,1.0,113.0,63.0,93.0,93.0,0.0,12.0,465.0,16097.0,0.0,0.0,0.0,0.0,4.0,3.38,2.889024E7
White Sands,white sands (1992),0.0,7.0,0.0,101.0,208.0,24.0,24.0,0.0,5.0,36.0,8630.0,8644.0,10.0,1.0,6.0,3.0,3.0,9011574.0
Luck by Chance,luck by chance (2009),0.0,0.0,195.0,156.0,1367.0,19.0,19.0,0.0,10.0,1308.0,10824.0,10833.0,10.0,1.0,7.1,1.0,4.5,356019.0
Assassination,assassination (1987),0.0,29.0,36.0,88.0,263.0,29.0,29.0,0.0,10.0,905.0,3582.0,3584.0,10.0,1.0,5.2,1.0,4.0,6075793.0
Hellbound: Hellraiser II,hellbound: hellraiser ii (1988),0.0,11.0,57.0,97.0,1286.0,25.0,25.0,0.0,3.0,2143.0,54852.0,55018.0,10.0,1.0,6.4,9.0,3.28,1.2090735E7
Haiku Tunnel,haiku tunnel (2001),0.0,1.0,8.0,88.0,1659.0,4.0,4.0,0.0,10.0,1847.0,1331.0,1331.0,10.0,1.0,6.1,4.0,3.0,92723.0
Jennifer's Body,jennifer's body (2009),0.0,241.0,3.0,102.0,525.0,19.0,19.0,1.0,6.0,943.0,146556.0,146994.0,10.0,1.0,5.5,2.0,1.0,1.6204793E7
Nocturnal Animals,nocturnal animals,0.0,7.0,15.0,116.0,136.0,20.0,20.0,1.0,3.0,1083.0,296310.0,296844.0,10.0,1.0,7.5,1.0,3.0,1.0663357E7
The Exorcist,exorcist  the (1973),0.0,117.0,0.0,122.0,456.0,43.0,43.0,1.0,3.0,59.0,442664.0,444318.0,10.0,1.0,8.1,53.0,3.8,2.32906145E8
Grease,grease (1978),0.0,90.0,4.0,110.0,13.0,40.0,40.0,0.0,7.0,227.0,293221.0,293711.0,10.0,1.0,7.2,68.0,3.14,1.89969103E8
Commando,commando (1985),1.0,47.0,3.0,90.0,12.0,93.0,93.0,0.0,12.0,590.0,171016.0,0.0,0.0,0.0,0.0,6.0,3.5,3.51E7
Raising Victor Vargas,raising victor vargas (2002),0.0,5.0,34.0,88.0,2451.0,2.0,2.0,0.0,11.0,1042.0,5661.0,5662.0,10.0,1.0,7.2,2.0,3.75,2078661.0
Rush,rush (2013),0.0,21.0,7.0,123.0,442.0,22.0,22.0,0.0,6.0,3.0,502031.0,502781.0,10.0,1.0,8.1,11.0,3.82,7241350.0
The Secret of My Success,secret of my succe$s  the (a.k.a. the secret of my success) (1987),0.0,3.0,1.0,111.0,44.0,29.0,29.0,0.0,5.0,88.0,36316.0,36353.0,10.0,1.0,6.5,4.0,3.13,6.6995879E7
Gorillas in the Mist,gorillas in the mist (1988),0.0,0.0,1.0,129.0,133.0,25.0,25.0,1.0,0.0,14.0,28592.0,28632.0,10.0,1.0,7.0,8.0,3.5,2.4720479E7
Resident Evil,resident evil (2002),0.0,78.0,24.0,100.0,154.0,0.0,0.0,1.0,2.0,161.0,282907.0,283214.0,10.0,1.0,6.6,30.0,3.08,4.0119709E7
The Rookie,rookie  the (2002),0.0,0.0,2.0,127.0,28.0,0.0,0.0,0.0,2.0,401.0,36530.0,36570.0,10.0,1.0,6.9,12.0,3.29,7.5600072E7
Be Cool,be cool (2005),1.0,618.0,7.0,118.0,13.0,93.0,93.0,0.0,12.0,91.0,71514.0,0.0,0.0,0.0,0.0,8.0,2.44,5.6046979E7
Guardians of the Galaxy Vol. 2,guardians of the galaxy 2 (2017),0.0,17.0,2.0,136.0,328.0,31.0,31.0,0.0,11.0,400.0,739627.0,740881.0,10.0,1.0,7.6,27.0,3.93,3.89813101E8
A River Runs Through It,river runs through it  a (1992),0.0,0.0,10.0,123.0,633.0,24.0,24.0,0.0,0.0,140.0,63989.0,64083.0,10.0,1.0,7.2,22.0,3.93,4.3440294E7
Dogtown and Z-Boys,dogtown and z-boyz (2001),0.0,6.0,8.0,91.0,47.0,0.0,0.0,0.0,11.0,1002.0,13238.0,13246.0,10.0,1.0,7.6,7.0,3.79,1300682.0
Black Rain,black rain (1989),0.0,28.0,4.0,125.0,27.0,27.0,27.0,0.0,6.0,5.0,58287.0,58390.0,10.0,1.0,6.6,3.0,3.0,4.6212055E7
Genius,genius (2016),1.0,0.0,32.0,104.0,123.0,93.0,93.0,0.0,12.0,1698.0,20879.0,0.0,0.0,0.0,0.0,1.0,3.0,1361045.0
Drowning Mona,drowning mona (2000),0.0,1.0,101.0,96.0,265.0,13.0,13.0,0.0,2.0,871.0,15318.0,15328.0,10.0,1.0,5.7,3.0,1.33,1.5506764E7
Bad Santa 2,bad santa 2 (2016),0.0,1.0,89.0,92.0,80.0,20.0,20.0,0.0,4.0,68.0,27344.0,27395.0,10.0,1.0,5.6,1.0,0.5,1.7782178E7
I Spy,i spy (2002),0.0,148.0,5.0,97.0,16.0,0.0,0.0,0.0,4.0,180.0,52887.0,52919.0,10.0,1.0,5.4,7.0,2.5,3.3561137E7
The Kingdom,kingdom  the (2007),0.0,29.0,1.0,110.0,181.0,1.0,1.0,0.0,6.0,104.0,130919.0,131029.0,10.0,1.0,7.0,8.0,3.81,4.7536778E7
Clara's Heart,clara's heart (1988),0.0,0.0,0.0,90.0,102.0,25.0,25.0,1.0,0.0,434.0,2510.0,2513.0,10.0,1.0,6.1,1.0,2.5,5194491.0
The Theory of Everything,the theory of everything (2014),0.0,4.0,15.0,123.0,662.0,16.0,16.0,0.0,4.0,676.0,472446.0,473017.0,10.0,1.0,7.7,17.0,3.71,3.5893537E7
Days of Thunder,days of thunder (1990),0.0,154.0,4.0,107.0,3.0,26.0,26.0,0.0,7.0,17.0,94291.0,94417.0,10.0,1.0,6.1,19.0,2.71,8.2670733E7
I Am a Sex Addict,i am a sex addict (2005),0.0,624.0,13.0,98.0,1140.0,7.0,7.0,0.0,5.0,1265.0,3356.0,3356.0,10.0,1.0,6.0,1.0,4.5,115694.0
Heartbreaker,heartbreaker (l'arnacoeur) (2010),0.0,3.0,13.0,105.0,392.0,18.0,18.0,0.0,2.0,1484.0,27365.0,27381.0,10.0,1.0,6.7,1.0,2.5,504030.0
Waiting to Exhale,waiting to exhale (1995),0.0,5.0,3.0,124.0,2469.0,9.0,9.0,1.0,3.0,501.0,11789.0,11806.0,10.0,1.0,6.0,7.0,2.36,6.7052156E7
The Shootist,shootist  the (1976),0.0,171.0,4.0,100.0,725.0,45.0,45.0,0.0,8.0,449.0,26216.0,26252.0,10.0,1.0,7.6,1.0,3.5,8091910.0
Pulp Fiction,pulp fiction (1994),0.0,99.0,6.0,154.0,13.0,21.0,21.0,0.0,0.0,186.0,2158666.0,2161941.0,10.0,1.0,8.9,307.0,4.2,1.07928762E8
Sense and Sensibility,sense and sensibility (1995),0.0,4.0,5.0,136.0,459.0,8.0,8.0,1.0,10.0,30.0,122562.0,122725.0,10.0,1.0,7.7,67.0,3.78,4.3182776E7
The Promise,promise  the (la promesse) (1996),0.0,0.0,38.0,90.0,739.0,14.0,14.0,0.0,11.0,390.0,8422.0,8429.0,10.0,1.0,7.7,2.0,4.5,669625.0
Domino,domino (2005),0.0,10.0,9.0,127.0,189.0,7.0,7.0,1.0,0.0,17.0,68808.0,68836.0,10.0,1.0,5.9,8.0,2.88,1.0169202E7
Street Fighter,street fighter (1994),0.0,34.0,1.0,102.0,37.0,21.0,21.0,0.0,3.0,1558.0,74220.0,74278.0,10.0,1.0,4.0,10.0,2.5,3.3423521E7
Mansfield Park,mansfield park (1999),0.0,5.0,6.0,112.0,673.0,12.0,12.0,1.0,3.0,371.0,25314.0,25346.0,10.0,1.0,7.0,6.0,3.08,4775847.0
Nine Months,nine months (1995),0.0,3.0,3.0,103.0,59.0,9.0,9.0,0.0,8.0,34.0,38127.0,38158.0,10.0,1.0,5.5,48.0,2.82,6.9684532E7
House Arrest,house arrest (1996),0.0,15.0,7.0,108.0,182.0,8.0,8.0,1.0,1.0,2405.0,9120.0,9128.0,10.0,1.0,5.8,4.0,3.38,7032782.0
Men in Black,men in black (a.k.a. mib) (1997),1.0,77.0,5.0,98.0,78.0,93.0,93.0,0.0,12.0,82.0,597620.0,0.0,0.0,0.0,0.0,165.0,3.49,2.50690539E8
Kids,kids (1995),1.0,0.0,6.0,91.0,1783.0,93.0,93.0,0.0,12.0,805.0,82995.0,0.0,0.0,0.0,0.0,20.0,3.98,7412216.0
Marley,marley (2012),0.0,6.0,16.0,144.0,1078.0,15.0,15.0,3.0,5.0,174.0,14133.0,14141.0,10.0,1.0,7.9,2.0,3.5,1413480.0
Harry and the Hendersons,harry and the hendersons (1987),0.0,15.0,1.0,110.0,358.0,29.0,29.0,0.0,7.0,538.0,37605.0,37651.0,10.0,1.0,6.1,11.0,2.55,2.9760613E7
The Time Machine,time machine  the (1960),1.0,17.0,21.0,103.0,2192.0,93.0,93.0,0.0,12.0,2082.0,43818.0,0.0,0.0,0.0,0.0,8.0,3.63,5.6832494E7
Sweet Sixteen,sweet sixteen (2002),0.0,0.0,14.0,106.0,1883.0,0.0,0.0,0.0,0.0,173.0,15623.0,15631.0,10.0,1.0,7.4,3.0,3.33,316319.0
I Sell the Dead,i sell the dead (2008),0.0,24.0,13.0,85.0,1275.0,19.0,19.0,0.0,10.0,2499.0,11113.0,11123.0,10.0,1.0,6.0,2.0,2.5,8050.0
The Door in the Floor,door in the floor  the (2004),1.0,0.0,15.0,111.0,23.0,93.0,93.0,0.0,12.0,668.0,16064.0,0.0,0.0,0.0,0.0,1.0,2.5,3854624.0
Killing Zoe,killing zoe (1994),0.0,10.0,35.0,96.0,271.0,93.0,93.0,0.0,12.0,716.0,21227.0,21230.0,10.0,1.0,6.4,8.0,3.63,418961.0
Kingpin,kingpin (1996),0.0,1.0,7.0,114.0,166.0,8.0,8.0,0.0,8.0,89.0,89326.0,89445.0,10.0,1.0,6.9,42.0,3.37,2.5023434E7
Full Metal Jacket,full metal jacket (1987),0.0,14.0,0.0,116.0,246.0,29.0,29.0,0.0,8.0,184.0,773721.0,774755.0,10.0,1.0,8.3,102.0,4.1,4.6357676E7
Candyman: Farewell to the Flesh,candyman: farewell to the flesh (1995),0.0,202.0,26.0,95.0,871.0,9.0,9.0,0.0,2.0,218.0,14090.0,14122.0,10.0,1.0,5.2,4.0,3.0,1.3940383E7
Hall Pass,hall pass (2011),0.0,1.0,25.0,105.0,99.0,17.0,17.0,0.0,9.0,89.0,129591.0,129681.0,10.0,1.0,5.9,4.0,3.13,4.5060734E7
Sling Blade,sling blade (1996),0.0,0.0,6.0,135.0,80.0,14.0,14.0,0.0,2.0,710.0,97342.0,97431.0,10.0,1.0,8.0,47.0,3.84,2.4444121E7
Despicable Me 2,despicable me 2 (2013),0.0,310.0,1.0,98.0,77.0,22.0,22.0,0.0,8.0,1120.0,417305.0,417812.0,10.0,1.0,7.3,19.0,3.58,3.68061265E8
King Kong,king kong (1976),1.0,560.0,1.0,134.0,23.0,93.0,93.0,0.0,12.0,399.0,34660.0,0.0,0.0,0.0,0.0,14.0,2.71,2.18080025E8
Prom Night,prom night (1980),0.0,11.0,54.0,92.0,192.0,36.0,36.0,0.0,8.0,1934.0,20323.0,20366.0,10.0,1.0,5.3,2.0,2.5,1.4796236E7
Big Trouble in Little China,big trouble in little china (1986),1.0,118.0,3.0,99.0,54.0,93.0,93.0,0.0,12.0,29.0,150104.0,0.0,0.0,0.0,0.0,28.0,3.86,1.11E7
Only the Strong,only the strong (1993),0.0,26.0,3.0,99.0,1874.0,23.0,23.0,0.0,1.0,420.0,6697.0,6704.0,10.0,1.0,6.5,2.0,3.0,3283371.0
10th & Wolf,10th & wolf (2006),0.0,10.0,30.0,107.0,481.0,1.0,1.0,0.0,5.0,2015.0,6801.0,6808.0,10.0,1.0,6.3,1.0,4.5,54702.0
Ultraviolet,ultraviolet (2006),0.0,476.0,24.0,88.0,154.0,3.0,3.0,1.0,2.0,1070.0,83482.0,83511.0,10.0,1.0,4.3,13.0,1.92,1.8535812E7
Stranger Than Fiction,stranger than fiction (2006),0.0,72.0,5.0,113.0,39.0,3.0,3.0,0.0,4.0,165.0,234502.0,234642.0,10.0,1.0,7.5,44.0,3.69,4.0660952E7
Bedrooms and Hallways,bedrooms & hallways (1998),1.0,3.0,70.0,92.0,1730.0,93.0,93.0,0.0,12.0,653.0,3495.0,0.0,0.0,0.0,0.0,1.0,3.0,136049.0
"O Brother, Where Art Thou?",o brother  where art thou? (2000),0.0,300.0,2.0,107.0,22.0,4.0,4.0,0.0,9.0,77.0,324717.0,325083.0,10.0,1.0,7.7,94.0,3.81,4.5512588E7
Romance,romance (1999),0.0,4.0,43.0,84.0,1129.0,12.0,12.0,1.0,5.0,783.0,11707.0,11725.0,10.0,1.0,5.2,1.0,4.0,1314053.0
Showtime,showtime (2002),0.0,13.0,0.0,95.0,4.0,0.0,0.0,0.0,2.0,541.0,64599.0,64621.0,10.0,1.0,5.5,10.0,2.4,3.8082712E7
Into the Woods,into the woods (2014),0.0,319.0,2.0,125.0,260.0,16.0,16.0,1.0,3.0,423.0,146074.0,146221.0,10.0,1.0,5.9,5.0,2.8,1.28002372E8
A Christmas Story,christmas story  a (1983),0.0,15.0,7.0,93.0,2094.0,35.0,35.0,0.0,4.0,217.0,162121.0,162346.0,10.0,1.0,7.9,55.0,3.97,2.0605209E7
American Hustle,american hustle (2013),0.0,8.0,5.0,138.0,36.0,22.0,22.0,0.0,3.0,124.0,494611.0,494958.0,10.0,1.0,7.2,16.0,3.25,1.50117807E8
The Santa Clause 2,santa clause 2  the (2002),0.0,320.0,2.0,104.0,89.0,0.0,0.0,0.0,4.0,588.0,61538.0,61665.0,10.0,1.0,5.7,5.0,2.3,1.39236327E8
Taken 2,taken 2 (2012),0.0,20.0,3.0,92.0,43.0,15.0,15.0,0.0,0.0,427.0,317788.0,318050.0,10.0,1.0,6.2,7.0,3.29,1.39854287E8
Cape Fear,cape fear (1962),0.0,10.0,1.0,106.0,474.0,58.0,58.0,0.0,7.0,229.0,31034.0,31080.0,10.0,1.0,7.7,14.0,3.96,7.9091969E7
Cliffhanger,cliffhanger (1993),0.0,25.0,12.0,113.0,7.0,23.0,23.0,0.0,11.0,45.0,137089.0,137369.0,10.0,1.0,6.5,101.0,3.03,8.4049211E7
Last Dance,last dance (1996),1.0,0.0,2.0,103.0,401.0,93.0,93.0,1.0,12.0,76.0,4647.0,0.0,0.0,0.0,0.0,1.0,3.0,5939449.0
Millennium Actress,millennium actress (sennen joyû) (2001),1.0,232.0,165.0,87.0,1983.0,93.0,93.0,1.0,12.0,414.0,30771.0,0.0,0.0,0.0,0.0,5.0,3.8,37641.0
American Dreamz,american dreamz (2006),0.0,2.0,1.0,107.0,59.0,3.0,3.0,0.0,5.0,329.0,25097.0,25110.0,10.0,1.0,5.5,1.0,3.0,7191830.0
Invasion of the Body Snatchers,invasion of the body snatchers (1956),0.0,41.0,18.0,80.0,1729.0,54.0,54.0,0.0,9.0,449.0,53469.0,53572.0,10.0,1.0,7.7,13.0,3.77,2.4946533E7
The Purge,purge  the (2013),1.0,73.0,1.0,85.0,42.0,93.0,93.0,0.0,12.0,539.0,235557.0,0.0,0.0,0.0,0.0,4.0,3.25,6.4473115E7
Lone Survivor,lone survivor (2013),0.0,135.0,1.0,121.0,32.0,16.0,16.0,0.0,10.0,104.0,300608.0,300954.0,10.0,1.0,7.5,2.0,3.0,1.25095601E8
Hollywood Shuffle,hollywood shuffle (1987),0.0,1.0,20.0,81.0,825.0,29.0,29.0,0.0,2.0,1058.0,6200.0,6205.0,10.0,1.0,6.9,1.0,5.0,5228617.0
