title,studio,genres,numVotes,directors,category,primaryName,title_lc,contentRate,rlYr,type,rlMnth,rnTimeMin,gross,imdbRtCnt,imdbRtBest,imdbRtWorst,imdbRtAvg,slRateCnt,slRateAvg
The Time Machine,DW,action|adventure|sci-fi,128651,nm0920425,actor,Guy Pearce,time machine  the (2002),pg-13,2002,movie,3,96,56832494,128754,10,1,6.0,22,2.86
Hercules,BV,action|adventure,162313,nm0711840,actor,Dwayne Johnson,hercules (2014),pg-13,2014,movie,7,98,99112101,162469,10,1,6.0,4,2.0
The Great Santini,WB,drama,6805,nm0137573,actor,Robert Duvall,great santini  the (1979),"","","","",115,4702575,"","","","",3,3.67
Rocky III,UA,action|drama,206395,nm0000230,actor,Sylvester Stallone,rocky iii (1982),pg,1982,movie,5,99,125049125,206792,10,1,6.8,24,2.73
The Dreamers,FoxS,drama,128379,nm0000934,actor,Michael Pitt,dreamers  the (2003),nc-17,2004,movie,2,115,2532228,128562,10,1,7.1,13,3.73
Palmetto,Sony,crime|drama|mystery|romance|thriller,8258,nm0772522,actor,Woody Harrelson,palmetto (1998),r,1998,movie,2,114,5878911,8281,10,1,6.1,5,2.8
Jane Eyre,Focus,drama|romance,9327,nm0829038,actor,Orson Welles,jane eyre (1944),approved,1944,movie,4,97,11242660,9341,10,1,7.5,1,5.0
The Boys,Strat.,drama,1659,nm0940774,actor,David Wenham,boys  the (1998),r,1998,movie,5,86,3146,1660,10,1,6.9,1,2.0
Material Girls,MGM,children|comedy|drama,22608,nm0004838,actress,Hilary Duff,material girls (2006),pg,2006,movie,8,98,11449638,22616,10,1,3.9,1,2.0
Florence Foster Jenkins,Par.,comedy|drama,58588,nm0001241,actress,Meryl Streep,florence foster jenkins (2016),pg-13,2016,movie,8,111,27383770,58644,10,1,6.8,1,4.0
Fear of a Black Hat,IDP,comedy,4434,nm0192090,actor,Larry B. Scott,fear of a black hat (1994),r,1994,movie,6,88,233824,4441,10,1,7.2,1,1.0
Dead Presidents,BV,action|crime|drama,23895,"nm0400436,nm0400441",actor,Larenz Tate,dead presidents (1995),r,1995,movie,10,119,24147179,23935,10,1,6.9,7,3.0
Mississippi Masala,Gold.,drama|romance,5995,nm0619762,actor,Denzel Washington,mississippi masala (1991),r,1992,movie,2,118,7308786,6009,10,1,6.7,3,3.5
The Apple Dumpling Gang,Dis.,children|comedy|western,6368,nm0865709,actor,Bill Bixby,apple dumpling gang  the (1975),g,1975,movie,7,100,36853000,6382,10,1,6.4,10,2.6
The Razor's Edge,Col.,drama,5789,nm0126440,actor,Bill Murray,razor's edge  the (1984),pg-13,1984,movie,10,128,6551987,5797,10,1,6.4,2,3.5
Wayne's World,Par.,comedy,166790,nm0790715,actor,Mike Myers,wayne's world (1992),pg-13,1992,movie,2,94,121697323,167070,10,1,7.0,61,3.48
Minority Report,Fox,action|crime|mystery|sci-fi|thriller,573926,nm0000229,actor,Tom Cruise,minority report (2002),"","","","",145,132072926,"","","","",120,3.64
Mindhunters,Dim.,action|crime|horror|mystery|thriller,63245,nm0001317,actor,Val Kilmer,mindhunters (2004),r,2005,movie,5,106,4480744,63303,10,1,6.3,3,2.67
Runaway Jury,Fox,drama|thriller,102778,nm0001219,actor,John Cusack,runaway jury (2003),pg-13,2003,movie,10,127,49443628,102895,10,1,7.1,17,3.44
He Got Game,BV,drama,50602,nm0000490,actor,Denzel Washington,he got game (1998),r,1998,movie,5,136,21567853,50649,10,1,6.9,7,3.21
Pete's Dragon,BV,adventure|children|fantasy,60853,nm1108007,actress,Bryce Dallas Howard,pete's dragon (2016),"","","","",102,39588000,"","","","",1,3.0
The Mirror Has Two Faces,Sony,comedy|drama|romance,21309,nm0000659,actress,Barbra Streisand,mirror has two faces  the (1996),pg-13,1996,movie,11,126,41083864,21360,10,1,6.6,4,3.38
Deep Rising,BV,action|horror|sci-fi,39977,nm0814085,actor,Treat Williams,deep rising (1998),r,1998,movie,1,106,11203026,40028,10,1,6.1,5,2.3
Spy Game,Uni.,action|crime|drama|thriller,163857,nm0001716,actor,Robert Redford,spy game (2001),r,2001,movie,11,126,62362560,164199,10,1,7.1,27,3.48
Seventh Son,Uni.,adventure|children|fantasy,79689,nm0091076,actor,Ben Barnes,seventh son (2014),pg-13,2015,movie,2,102,17223265,79737,10,1,5.5,2,2.25
Kolya,Mira.,comedy|drama,16032,nm0841232,actor,Zdenek Sverák,kolya (kolja) (1996),pg-13,1997,movie,1,105,5770254,16043,10,1,7.7,7,4.43
The Best Exotic Marigold Hotel,FoxS,comedy|drama,98299,nm0006960,actress,Judi Dench,best exotic marigold hotel  the (2011),pg-13,2012,movie,5,124,46412041,98365,10,1,7.2,4,3.88
The Stepfather,NCeV,horror|thriller,17694,nm0747849,actor,Terry O'Quinn,stepfather  the (1987),r,1987,movie,6,89,2488740,17736,10,1,6.7,1,2.5
Women in Trouble,Scre.,comedy,6481,nm0349406,actress,Carla Gugino,women in trouble (2009),r,2011,movie,7,92,18097,6490,10,1,5.6,1,2.0
City Heat,WB,action|comedy,10549,nm0000907,actor,Clint Eastwood,city heat (1984),pg,1984,movie,12,97,38348988,10561,10,1,5.5,1,3.0
Batman Forever,WB,action|adventure|comedy|crime,262864,nm0001708,actor,Val Kilmer,batman forever (1995),pg-13,1995,movie,6,121,184069126,263160,10,1,5.4,137,2.92
Character,SPC,drama,11186,nm0226016,actor,Pavlik Jansen op de Haar,character (karakter) (1997),"","","","",122,623983,"","","","",4,2.63
Varsity Blues,Par.,comedy|drama,48149,nm0005367,actor,James Van Der Beek,varsity blues (1999),r,1999,movie,1,106,52894169,48198,10,1,6.5,15,3.27
Bully,Lions,crime|drama|thriller,39977,nm0164187,actor,Brad Renfro,bully (2001),"","","","",108,480811,"","","","",7,3.64
Titanic,Par.,drama|romance,1251724,nm0000116,actor,Leonardo DiCaprio,titanic (1997),pg-13,1997,movie,12,194,659363944,1253109,10,1,7.9,140,3.41
The Wild Bunch,WB,adventure|western,88871,nm0001603,actor,William Holden,wild bunch  the (1969),r,1969,movie,6,145,638641,88996,10,1,7.9,11,3.82
Proof,FL,drama,45897,nm0006960,actress,Gwyneth Paltrow,proof (2005),pg-13,2005,movie,10,100,524668,45919,10,1,6.7,7,3.57
The Gods Must Be Crazy,Fox,adventure|comedy,58558,nm0371059,actor,N!xau,gods must be crazy  the (1980),pg,1984,movie,10,109,30031783,58610,10,1,7.3,28,3.89
Wishmaster,Live,horror,24785,nm0476071,actress,Tammy Lauren,wishmaster (1997),r,1997,movie,9,90,15738769,24831,10,1,5.8,2,2.25
Tarzan,BV,adventure|animation|children|drama,240965,"nm0118333,nm0510674",actor,Tony Goldwyn,tarzan (1999),g,1999,movie,6,88,171091819,241432,10,1,7.3,24,3.46
Open Water,Lions,drama|thriller,55890,nm0448900,actress,Blanchard Ryan,open water (2003),r,2004,movie,8,79,30610863,55924,10,1,5.8,5,2.7
The Craft,Sony,drama|fantasy|horror|thriller,104543,nm0281598,actress,Robin Tunney,craft  the (1996),"","","","",101,24819936,"","","","",31,3.03
Shiloh,Leg.,children|drama,3673,nm0742428,actor,Blake Heron,shiloh (1997),pg,1997,movie,4,93,1007822,3673,10,1,6.3,2,3.25
The Truth About Charlie,Uni.,mystery|thriller,10902,nm0001129,actor,Mark Wahlberg,truth about charlie  the (2002),"","","","",104,5350371,"","","","",1,2.5
G.I. Joe: Retaliation,Par.,action|adventure|sci-fi|thriller|imax,185864,nm0160840,actor,Dwayne Johnson,g.i. joe: retaliation (2013),pg-13,2013,movie,3,110,122523060,185962,10,1,5.7,3,3.0
Two Weeks Notice,WB,comedy|romance,123796,nm0492909,actress,Sandra Bullock,two weeks notice (2002),pg-13,2002,movie,12,101,93354851,123940,10,1,6.1,19,3.26
Faust,Leis.,animation|comedy|drama|fantasy,4181,nm0840905,actor,Petr Cepek,lesson faust (1994),"",1995,movie,4,97,58132,4194,10,1,7.4,2,5.0
Stargate,MGM,action|adventure|sci-fi,200827,nm0000386,actor,Kurt Russell,stargate (1994),pg-13,1994,movie,10,116,71567262,201113,10,1,7.0,140,3.38
Bridge of Spies,BV,drama|thriller,322958,nm0000229,actor,Tom Hanks,bridge of spies (2015),pg-13,2015,movie,10,142,72313754,323290,10,1,7.6,8,3.44
Labyrinth,TriS,adventure|fantasy|musical,145909,nm0001345,actor,David Bowie,labyrinth (1986),pg,1986,movie,6,101,13723253,146115,10,1,7.3,42,3.82
September,Orion,drama,10268,nm0000095,actress,Elaine Stritch,september (1987),pg,1987,movie,12,83,486434,10276,10,1,6.5,1,3.5
They Live,Uni.,action|sci-fi|thriller,141148,nm0000118,actor,Roddy Piper,they live (1988),r,1988,movie,11,94,13008928,141498,10,1,7.2,9,3.72
Say Anything,Fox,comedy|drama|romance,94360,nm0001081,actor,John Cusack,say anything... (1989),"","","","",100,20781385,"","","","",39,3.92
"Hail, Caesar!",Uni.,comedy,140845,"nm0001053,nm0001054",actor,Josh Brolin,hail  caesar! (2016),pg-13,2016,movie,2,106,30498085,141017,10,1,6.3,8,2.81
American Grindhouse,Lorb.,documentary,2565,nm1486426,self,Robert Forster,american grindhouse (2010),not rated,2010,movie,3,80,5529,2565,10,1,7.1,1,4.0
Valerian and the City of a Thousand Planets,STX,action|adventure|sci-fi,192844,nm0000108,actor,Dane DeHaan,valerian and the city of a thousand planets (2017),pg-13,2017,movie,7,136,41189488,193110,10,1,6.4,4,2.88
The Fantasticks,MGM,musical,1417,nm0006916,actor,Joel Grey,fantasticks  the (1995),"","","","",86,49666,"","","","",2,4.0
Crossing Delancey,WB,comedy|romance,4832,nm0798717,actress,Amy Irving,crossing delancey (1988),pg,1988,movie,9,97,16262415,4841,10,1,6.9,1,5.0
Control,Wein.,comedy|crime|drama|mystery,26667,nm0030735,actor,Sándor Csányi,control (kontroll) (2003),r,2003,movie,11,111,872252,26692,10,1,7.6,1,3.5
Knockin' on Heaven's Door,Pha.,action|comedy|crime|drama,32804,nm0415714,actor,Til Schweiger,knockin' on heaven's door (1997),not rated,1997,movie,2,87,5710,32870,10,1,7.8,4,4.25
The Thief,Strat.,drama,5515,nm0161056,actor,Vladimir Mashkov,the thief (1997),r,1998,movie,7,96,1126506,5523,10,1,7.6,1,4.5
Keeping Up with the Joneses,Fox,comedy,66223,nm0609549,actor,Zach Galifianakis,keeping up with the joneses (2016),pg-13,2016,movie,10,105,14904426,66291,10,1,5.9,2,3.75
Chinatown,Par.,crime|film-noir|mystery|thriller,341719,nm0000591,actor,Jack Nicholson,chinatown (1974),r,1974,movie,6,130,29200000,342225,10,1,8.2,59,4.21
Vampire in Brooklyn,Par.,comedy|horror|romance,24731,nm0000127,actor,Eddie Murphy,vampire in brooklyn (1995),r,1995,movie,10,100,19751736,24764,10,1,4.6,9,2.83
The Brass Teapot,Magn.,comedy|fantasy|thriller,16769,nm1310794,actress,Juno Temple,brass teapot  the (2012),r,2013,movie,4,101,6997,16786,10,1,6.3,1,2.0
How High,Uni.,comedy,60907,nm0245888,actor,Method Man,how high (2001),"","","","",93,31178740,"","","","",9,2.94
Sister Act 2: Back in the Habit,BV,comedy,57221,nm0004886,actress,Whoopi Goldberg,sister act 2: back in the habit (1993),pg,1993,movie,12,107,57319029,57311,10,1,5.7,14,1.89
Lords of Dogtown,Sony,action|comedy|drama,57270,nm0362566,actor,Heath Ledger,lords of dogtown (2005),pg-13,2005,movie,6,107,11273517,57323,10,1,7.1,7,3.0
The Great Gatsby,Par.,drama,26208,nm0002338,actor,Robert Redford,great gatsby  the (1974),"","","","",144,20563273,"","","","",1,3.0
Road Trip,DW,comedy,175432,nm0680846,actor,Breckin Meyer,road trip (2000),r,2000,movie,5,93,68540777,175556,10,1,6.5,41,3.09
The Blob,TriS,horror|sci-fi,28670,"nm0947105,nm0234893",actor,Steve McQueen,blob  the (1958),approved,1958,movie,9,86,8247943,28728,10,1,6.3,6,3.0
Saw III,LGF,crime|horror|thriller,207562,nm1135423,actor,Tobin Bell,saw iii (2006),r,2006,movie,10,108,80238724,208277,10,1,6.2,11,3.05
Ladyhawke,WB,adventure|fantasy|romance,49869,nm0001149,actor,Matthew Broderick,ladyhawke (1985),pg-13,1985,movie,4,121,18432000,49928,10,1,6.9,18,3.33
The Horse Whisperer,BV,drama|romance,42903,nm0000602,actor,Robert Redford,horse whisperer  the (1998),pg-13,1998,movie,5,169,75383563,42943,10,1,6.7,4,3.75
RV,Sony,adventure|children|comedy,62654,nm0001756,actor,Robin Williams,rv (2006),"","","","",99,71726025,"","","","",3,2.0
The Accountant,WB,crime|drama|thriller,311120,nm0640334,actor,Ben Affleck,the accountant (2016),r,2016,movie,10,128,86260045,311607,10,1,7.3,6,3.0
Despicable Me 3,Uni.,adventure|animation|children|comedy,147563,"nm3210494,nm1853544,nm0049633",actor,Steve Carell,despicable me 3 (2017),pg,2017,movie,6,89,264624300,147881,10,1,6.2,2,2.25
Dallas Buyers Club,Focus,drama,509399,nm0885249,actor,Matthew McConaughey,dallas buyers club (2013),r,2013,movie,11,117,27298285,510008,10,1,7.9,17,3.97
Boiling Point,WB,action|drama,6433,nm0364805,actor,Wesley Snipes,boiling point (1993),r,1993,movie,4,92,10058318,6444,10,1,5.0,2,3.0
New York Stories,BV,comedy|drama,19365,"nm0000095,nm0000338,nm0000217",actor,Woody Allen,new york stories (1989),pg,1989,movie,3,124,10763469,19404,10,1,6.4,4,3.13
The Bank Job,LGF,action|crime|thriller,187080,nm0002044,actor,Jason Statham,bank job  the (2008),r,2008,movie,3,111,30060660,187212,10,1,7.2,13,3.62
Together,IFC,comedy|drama|romance,23806,nm0600546,actress,Lisa Lindgren,together (tillsammans) (2000),r,2001,movie,9,106,1034829,23870,10,1,7.4,7,3.71
The Flintstones in Viva Rock Vegas,Uni.,children|comedy,24967,nm0505152,actor,Mark Addy,flintstones in viva rock vegas  the (2000),pg,2000,movie,4,90,35268275,24987,10,1,3.7,12,1.63
Dogville,Lions,drama|mystery|thriller,155745,nm0001885,actress,Nicole Kidman,dogville (2003),r,2004,movie,4,178,1535286,155934,10,1,8.0,20,4.03
Where the Day Takes You,NL,drama,3825,nm0733692,actor,Dermot Mulroney,where the day takes you (1992),r,1992,movie,9,105,390152,3833,10,1,6.5,1,4.0
Finding Neverland,Mira.,drama,210434,nm0286975,actor,Johnny Depp,finding neverland (2004),"","","","",106,51680613,"","","","",32,3.61
Being There,MGM,comedy|drama,76157,nm0000797,actor,Peter Sellers,being there (1979),pg,1980,movie,2,130,30177511,76270,10,1,7.9,20,3.95
In the Name of the King: A Dungeon Siege Tale,Free,action|adventure|fantasy,50631,nm0093051,actor,Jason Statham,in the name of the king: a dungeon siege tale (2008),pg-13,2008,movie,1,127,4775656,50678,10,1,3.8,1,0.5
Alvin and the Chipmunks: The Squeakquel,Fox,animation|children|comedy|musical,52950,nm0858525,actor,Jason Lee,alvin and the chipmunks: the squeakquel (2009),pg,2009,movie,12,88,219614612,53055,10,1,4.5,3,2.67
Cloudy with a Chance of Meatballs 2,Sony,animation|children|comedy|fantasy,111643,"nm2329165,nm0970606",actor,Bill Hader,cloudy with a chance of meatballs 2 (2013),"","","","",95,119793567,"","","","",2,2.25
Ernest Goes to Camp,BV,comedy,12257,nm0156047,actor,Jim Varney,ernest goes to camp (1987),pg,1987,movie,5,92,23509382,12274,10,1,5.5,5,1.4
All Dogs Go to Heaven,UA,animation|children|comedy|drama|fantasy,44988,"nm0089940,nm0325776,nm0473941",actor,Dom DeLuise,all dogs go to heaven (1989),g,1989,movie,11,84,27100027,45085,10,1,6.7,15,2.7
The Devil Wears Prada,Fox,comedy|drama,446993,nm0291205,actress,Anne Hathaway,devil wears prada  the (2006),pg-13,2006,movie,6,109,124740460,448064,10,1,6.9,34,3.56
Paddington,W/Dim.,children|comedy,127444,nm1653753,actor,Hugh Bonneville,paddington (2014),pg,2015,movie,1,95,76271832,127751,10,1,7.3,4,4.0
Beastly,CBS,drama|fantasy|romance,79247,nm1400426,actor,Alex Pettyfer,beastly (2011),pg-13,2011,movie,3,86,27865571,79279,10,1,5.5,1,3.5
Young Doctors in Love,Fox,comedy,3402,nm0005190,actor,Michael McKean,young doctors in love (1982),"","","","",96,30688860,"","","","",2,1.5
Surviving the Game,NL,action|adventure|thriller,12739,nm0225416,actor,Rutger Hauer,surviving the game (1994),r,1994,movie,4,96,7727256,12769,10,1,6.2,2,3.25
Biker Boyz,DW,action|crime|drama,13959,nm0090066,actor,Laurence Fishburne,biker boyz (2003),pg-13,2003,movie,1,110,22076772,13967,10,1,4.6,1,2.0
The Hills Have Eyes 2,FoxA,horror|thriller,66804,nm1170286,actress,Daniella Alonso,hills have eyes ii  the (2007),r,2007,movie,3,89,20804166,66865,10,1,5.1,2,2.5
Zombeavers,Free,action|comedy|horror,19910,nm1140290,actress,Rachel Melvin,zombeavers (2014),r,2015,movie,3,77,14947,19974,10,1,4.8,2,2.5
That Sugar Film,Gold.,documentary,10666,nm0303902,self,Damon Gameau,that sugar film (2014),not rated,2015,movie,7,90,3500,10680,10,1,7.4,1,4.5
The Signal,Magn.,sci-fi|thriller,68344,nm1827931,actor,Brenton Thwaites,signal  the (2014),pg-13,2014,movie,7,97,251150,68398,10,1,6.0,1,4.5
Guess Who's Coming to Dinner,Col.,drama,47884,nm0006452,actor,Spencer Tracy,guess who's coming to dinner (1967),approved,1967,movie,12,108,56666667,47965,10,1,7.8,11,4.55
Three Men and a Cradle,Gold.,comedy,3848,nm0785684,actor,Roland Giraud,three men and a cradle (3 hommes et un couffin) (1985),"","","","",106,2052466,"","","","",1,4.5
Extremities,Atl,drama|thriller,4178,nm0950001,actress,Farrah Fawcett,extremities (1986),r,1986,movie,8,89,13418091,4183,10,1,6.3,2,3.75
The Muse,USA,comedy,11236,nm0000983,actor,Albert Brooks,muse  the (1999),pg-13,1999,movie,8,97,11614954,11253,10,1,5.7,7,3.07
Kikujiro,SPC,comedy|drama,21724,nm0001429,actor,Takeshi Kitano,kikujiro (kikujirô no natsu) (1999),pg-13,2000,movie,5,122,200920,21751,10,1,7.7,3,3.67
Rock Star,WB,comedy|drama|musical,44773,nm0378893,actor,Mark Wahlberg,rock star (2001),r,2001,movie,9,105,17008282,44806,10,1,6.3,3,2.5
Interview,SPC,drama,13857,nm0000114,actress,Sienna Miller,interview (2007),r,2007,movie,5,84,416951,13861,10,1,6.8,1,2.5
Cobra,WB,action|crime,78014,nm0181902,actor,Sylvester Stallone,cobra (1986),r,1986,movie,5,87,49042224,78145,10,1,5.8,3,2.33
Grumpier Old Men,WB,comedy|romance,29104,nm0222043,actor,Walter Matthau,grumpier old men (1995),pg-13,1995,movie,12,101,71518503,29154,10,1,6.6,52,3.26
The Book of Eli,WB,action|adventure|drama,332904,"nm0400436,nm0400441",actor,Denzel Washington,book of eli  the (2010),"","","","",118,94835059,"","","","",16,3.28
Swept Away,SGem,comedy|drama,6672,nm0921631,actor,Giancarlo Giannini,swept away (travolti da un insolito destino nell'azzurro mare d'agosto) (1975),r,1975,movie,9,114,598645,6679,10,1,7.5,6,4.67
Campus Man,Par.,comedy,594,nm0143172,actor,John Dye,campus man (1987),pg,1987,movie,4,94,989528,594,10,1,4.7,1,1.0
Cousins,Par.,comedy|romance,5048,nm0001708,actor,Ted Danson,cousins (1989),pg-13,1989,movie,2,113,22026369,5054,10,1,6.3,1,3.0
What Lies Beneath,DW,drama|horror|mystery,133362,nm0000709,actor,Harrison Ford,what lies beneath (2000),pg-13,2000,movie,7,130,155464351,133565,10,1,6.6,25,3.2
Sympathy for Mr. Vengeance,Tar.,crime|drama,73519,nm0661791,actor,Song Kang-ho,sympathy for mr. vengeance (boksuneun naui geot) (2002),r,2002,movie,3,129,45289,73622,10,1,7.5,5,3.8
Delhi Belly,UTV,comedy|crime,31485,"nm3218978,nm2356415",actor,Imran Khan,delhi belly (2011),not rated,2011,movie,7,103,1532594,31513,10,1,7.5,1,4.0
Mulan,BV,adventure|animation|children|comedy|drama|musical|romance,307250,"nm0051643,nm0176905",actress,Ming-Na Wen,mulan (1998),"","","","",87,120620254,"","","","",45,3.57
Urban Legend,Sony,horror|thriller,70425,nm0087595,actor,Jared Leto,urban legend (1998),r,1998,movie,9,99,38072438,70517,10,1,5.6,10,2.4
Hero,Mira.,comedy|drama,23294,nm0001241,actor,Dustin Hoffman,hero (1992),pg-13,1992,movie,10,119,53710019,23326,10,1,6.5,5,2.5
Gods and Generals,WB,action|drama|war,16984,nm0561813,actor,Stephen Lang,gods and generals (2003),"","","","",219,12882934,"","","","",1,3.0
Matchstick Men,WB,comedy|crime|drama,135981,nm0000631,actor,Nicolas Cage,matchstick men (2003),pg-13,2003,movie,9,116,36906460,136168,10,1,7.3,34,3.72
Charlie Countryman,MNE,action|comedy|romance,29427,nm0093934,actor,Shia LaBeouf,charlie countryman (2013),r,2013,movie,9,103,11650,29443,10,1,6.3,1,1.5
The Fighting Temptations,Par.,drama,7496,nm0528718,actor,Cuba Gooding Jr.,fighting temptations  the (2003),pg-13,2003,movie,9,123,30250745,7501,10,1,5.6,1,3.5
Heavyweights,BV,children|comedy,29965,nm0109359,actor,Tom McGowan,heavyweights (heavy weights) (1995),pg,1995,movie,2,100,17689177,30006,10,1,6.6,6,2.5
Short Term 12,Cdgm.,drama,90671,nm2308774,actress,Brie Larson,short term 12 (2013),"","","","",96,1013100,"","","","",2,3.75
Into the Forest,A24,drama|sci-fi,21850,nm0005390,actor,Elliot Page,into the forest (2015),r,2016,movie,7,101,9995,21871,10,1,5.8,1,2.0
Erik the Viking,Orion,adventure|comedy|fantasy,14287,nm0001402,actor,Tim Robbins,erik the viking (1989),pg-13,1989,movie,9,107,1932642,14300,10,1,6.1,5,3.0
Somebody to Love,Leg.,drama,792,nm0734319,actress,Rosie Perez,somebody to love (1994),r,1996,movie,9,102,18112,793,10,1,5.4,2,3.5
The Big Kahuna,Lions,comedy|drama,14874,nm0841647,actor,Kevin Spacey,big kahuna  the (2000),r,2000,movie,5,90,3165544,14886,10,1,6.5,8,2.88
The Hobbit: The Battle of the Five Armies,WB (NL),adventure|fantasy,558092,nm0001392,actor,Ian McKellen,the hobbit: the battle of the five armies (2014),"","","","",144,255119788,"","","","",18,3.42
Together,UA,comedy|drama|romance,23806,nm0600546,actress,Lisa Lindgren,together (tillsammans) (2000),r,2001,movie,9,106,1151941,23870,10,1,7.4,7,3.71
Pitch Perfect,Uni.,comedy|musical,323807,nm0601337,actress,Anna Kendrick,pitch perfect (2012),pg-13,2012,movie,10,112,65001093,324385,10,1,7.1,20,3.63
The Exorcist III,Fox,horror,37437,nm0087861,actor,George C. Scott,exorcist iii  the (1990),r,1990,movie,8,110,26098824,37666,10,1,6.5,4,2.0
Series 7: The Contenders,USA,action|drama,6646,nm0590889,actress,Brooke Smith,series 7: the contenders (2001),r,2001,movie,5,86,195065,6647,10,1,6.5,2,2.5
A Quiet Place,Par.,drama|horror|thriller,566356,nm1024677,actress,Emily Blunt,a quiet place (2018),pg-13,2018,movie,4,90,188024361,567454,10,1,7.5,4,2.75
The Hard Way,Uni.,action|comedy,21881,nm0000824,actor,Michael J. Fox,hard way  the (1991),"","","","",111,25895485,"","","","",2,3.25
Man Bites Dog,Roxie,comedy|crime|drama|thriller,42981,"nm0069715,nm0095298,nm0688143",actor,Benoît Poelvoorde,man bites dog (c'est arrivé près de chez vous) (1992),nc-17,1993,movie,1,95,205569,43032,10,1,7.4,6,4.5
Gas Food Lodging,IRS,drama|romance,4322,nm0025978,actress,Brooke Adams,gas  food  lodging (1992),r,1992,movie,7,101,1342613,4327,10,1,6.6,2,2.75
The Ring,DW,horror|mystery|thriller,367803,nm0893659,actress,Naomi Watts,ring  the (2002),pg-13,2002,movie,10,115,129128133,368378,10,1,7.1,47,3.2
Drag Me to Hell,Uni.,comedy|horror,213917,nm0000600,actress,Alison Lohman,drag me to hell (2009),pg-13,2009,movie,5,99,42100625,214372,10,1,6.6,6,3.75
All Is Lost,RAtt.,action|adventure|drama,82845,nm1170855,actor,Robert Redford,all is lost (2013),pg-13,2013,movie,10,106,6263670,82971,10,1,6.9,4,3.63
Rough Night,Sony,comedy|drama,54826,nm3622659,actress,Scarlett Johansson,rough night (2017),r,2017,movie,6,101,22105643,54901,10,1,5.2,2,3.25
The Butcher Boy,WB,comedy|drama,11334,nm0001403,actor,Stephen Rea,butcher boy  the (1997),"","","","",110,1995911,"","","","",2,4.0
Violet & Daisy,Cdgm.,action|drama,13124,nm2819316,actress,Saoirse Ronan,violet & daisy (2011),r,2013,movie,6,88,17186,13129,10,1,6.0,2,3.0
Eye in the Sky,BST,drama|thriller|war,90118,nm0004303,actress,Helen Mirren,eye in the sky (2016),r,2016,movie,4,102,18704595,90213,10,1,7.3,3,2.83
The Jungle Book 2,BV,animation|children,17535,nm0872045,actor,John Goodman,jungle book 2  the (2003),g,2003,movie,2,72,47901582,17561,10,1,5.3,1,3.0
Stolen Summer,Mira.,drama,2876,nm0971919,actress,Amara Balthrop-Lewis,stolen summer (2002),pg,2003,movie,7,91,134736,2877,10,1,6.5,2,2.75
The Peanuts Movie,Fox,adventure|animation|children|comedy,48745,nm0553942,actor,Noah Schnapp,peanuts movie  the (2015),g,2015,movie,11,88,130178411,48831,10,1,7.0,1,1.5
First Knight,Sony,action|drama|romance,77145,nm0958387,actor,Sean Connery,first knight (1995),pg-13,1995,movie,7,134,37600435,77244,10,1,6.0,54,3.08
The Hurricane,Uni.,drama,100866,nm0422484,actor,Denzel Washington,hurricane  the (1999),r,2000,movie,1,146,50699241,100977,10,1,7.6,16,3.53
Dracula 2000,Mira.,horror,35844,nm0527261,actor,Gerard Butler,dracula 2000 (2000),r,2000,movie,12,99,33022767,35911,10,1,4.9,5,1.8
Divergent,LG/S,adventure|romance|sci-fi|imax,478991,nm1139726,actress,Shailene Woodley,divergent (2014),pg-13,2014,movie,3,139,150947895,479686,10,1,6.6,18,3.0
Gardens of Stone,TriS,drama|war,5988,nm0000338,actor,James Caan,gardens of stone (1987),"","","","",111,5262047,"","","","",1,3.0
The Core,Par.,action|drama|sci-fi|thriller,105709,nm0000750,actor,Aaron Eckhart,core  the (2003),pg-13,2003,movie,3,135,31186896,105817,10,1,5.5,8,2.38
Buffy the Vampire Slayer,Fox,action|comedy|horror,48367,nm0476900,actress,Kristy Swanson,buffy the vampire slayer (1992),pg-13,1992,movie,7,86,16624456,48479,10,1,5.7,26,2.42
A View to a Kill,MGM,action|adventure|thriller,102756,nm0322515,actor,Roger Moore,view to a kill  a (1985),pg,1985,movie,5,131,50327960,102905,10,1,6.3,21,3.21
Femme Fatale,WB,crime|thriller,37153,nm0000361,actress,Rebecca Romijn,femme fatale (2002),r,2002,movie,11,114,6630252,37187,10,1,6.2,4,3.38
An Unfinished Life,Mira.,drama,32668,nm0002120,actress,Jennifer Lopez,unfinished life  an (2005),pg-13,2005,movie,9,108,8586392,32697,10,1,7.0,1,3.0
Better Living Through Circuitry,7Art,documentary,451,nm0718505,self,Moby,better living through circuitry (1999),not rated,1999,movie,8,85,82378,451,10,1,7.0,1,2.0
Ratatouille,BV,animation|children|drama,794257,"nm0684342,nm0083348",actor,Brad Garrett,ratatouille (2007),g,2007,movie,6,111,206445654,796283,10,1,8.1,72,3.87
Melancholia,Magn.,drama|sci-fi,191795,nm0001885,actress,Kirsten Dunst,melancholia (2011),r,2011,movie,5,135,3030848,192080,10,1,7.1,7,3.07
Saving Mr. Banks,BV,comedy|drama,167911,nm0359387,actress,Emma Thompson,saving mr. banks (2013),pg-13,2013,movie,12,125,83301580,168055,10,1,7.5,8,3.69
Ice Age: Collision Course,Fox,adventure|animation|children|comedy,72411,"nm0862211,nm1154886",actor,Ray Romano,ice age: collision course (2016),pg,2016,movie,7,94,64063008,72572,10,1,5.7,1,1.0
